STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,"181,406,049","192,300,889","203,331,090","206,351,945","218,218,505","206,282,006","209,090,785","215,068,678","194,088,728","203,595,685","197,569,231","204,414,862","2,431,718,453"
Alaska,"20,128,352","20,534,026","20,968,226","20,566,888","24,344,796","28,581,725","31,411,303","28,062,702","23,262,381","13,529,963","11,089,554","32,480,938","274,960,854"
Arizona,"182,559,282","195,684,808","211,781,420","200,242,297","207,264,007","200,731,355","194,354,880","204,731,988","191,653,756","203,290,098","202,365,721","203,307,356","2,397,966,968"
Arkansas,"114,892,489","111,654,421","120,051,483","112,862,081","125,486,001","126,118,259","129,266,546","124,689,153","117,027,505","117,325,810","121,249,853","114,160,649","1,434,784,250"
California,"1,083,914,000","1,137,000,000","1,221,347,659","1,243,241,833","1,163,507,414","1,248,321,221","1,270,349,431","1,299,279,816","1,186,477,579","1,227,203,631","1,203,825,290","1,297,313,316","14,581,781,190"
Colorado,"91,280,014","216,281,841","143,381,410","143,904,306","229,928,729","172,242,423","171,924,027","143,507,907","182,949,295","211,727,849","140,482,538","192,930,884","2,040,541,223"
Connecticut,"112,891,356","114,986,603","126,344,295","114,577,601","127,779,915","120,423,688","125,892,009","126,659,187","125,625,761","132,178,197","126,476,088","122,505,001","1,476,339,701"
Delaware,"28,419,506","29,131,898","32,311,186","31,718,670","55,986,759","13,796,016","35,028,423","35,586,829","28,748,181","29,258,128","30,779,900","32,544,885","383,310,381"
Dist. of Col.,"13,862,289","14,678,015","16,240,434","14,898,257","15,730,038","15,746,368","15,281,852","15,211,368","13,903,650","15,113,967","14,041,267","14,487,529","179,195,034"
Florida,"653,038,070","608,282,378","628,362,649","686,033,340","630,424,248","647,685,674","619,980,509","628,595,922","642,565,652","596,129,209","628,644,591","623,877,215","7,593,619,457"
Georgia,"354,458,146","372,073,846","411,453,655","391,965,211","413,181,699","403,106,779","401,776,849","408,737,144","383,418,485","407,379,859","383,322,706","404,289,880","4,735,164,259"
Hawaii,"31,812,456","23,186,800","40,240,677","35,781,899","38,139,031","34,243,947","34,849,242","31,486,930","30,471,901","40,031,056","33,055,037","27,415,011","400,713,987"
Idaho,"54,257,313","56,853,939","44,102,957","49,719,566","51,307,021","51,785,063","54,890,431","57,313,499","65,930,716","63,943,417","57,253,318","53,599,922","660,957,162"
Illinois,"451,171,338","336,588,538","249,857,729","590,822,558","482,053,127","396,691,683","423,791,368","380,893,917","482,634,051","402,818,458","448,398,310","430,304,123","5,076,025,200"
Indiana,"239,096,720","237,693,719","263,981,932","260,082,235","285,684,228","270,100,949","276,467,509","271,412,096","265,608,647","278,191,927","260,409,490","262,928,170","3,171,657,622"
Iowa,"112,228,124","115,060,189","126,444,404","124,023,284","140,663,275","136,431,259","137,780,264","145,758,531","128,390,221","132,817,905","131,221,212","132,203,425","1,563,022,093"
Kansas,"99,005,646","109,371,248","117,341,117","119,318,377","120,798,343","118,977,698","118,676,825","120,319,109","112,807,385","112,878,033","111,021,182","117,353,732","1,377,868,695"
Kentucky,"149,601,688","166,609,407","157,477,235","180,324,573","186,674,312","187,552,696","184,571,329","173,432,228","176,930,756","168,099,070","168,194,235","177,617,450","2,077,084,979"
Louisiana,"171,443,367","182,292,494","189,379,094","203,740,227","208,041,314","194,902,032","183,402,063","211,701,970","191,276,146","191,743,644","187,163,985","216,384,395","2,331,470,731"
Maine,"51,397,801","80,836,135","5,704,825","79,108,575","52,288,083","65,306,694","73,156,304","53,722,626","21,172,277","96,513,456","56,910,676","61,722,644","697,840,096"
Maryland,"171,878,370","186,492,759","195,703,217","172,441,437","222,671,820","216,034,108","220,084,059","215,917,740","203,271,608","203,389,348","209,925,334","216,143,160","2,433,952,960"
Massachusetts,"211,707,591","210,440,072","217,741,394","237,857,234","244,108,955","238,025,645","241,965,121","245,057,906","241,430,856","238,690,348","229,158,135","238,587,714","2,794,770,971"
Michigan,"379,423,414","384,657,138","416,210,784","390,092,685","438,033,331","436,493,496","408,302,769","485,208,899","358,658,548","488,732,872","408,788,963","428,451,740","5,023,054,639"
Minnesota,"191,847,271","195,447,294","202,418,512","202,268,016","232,064,971","232,851,602","237,434,787","246,241,669","216,090,618","225,847,059","211,740,578","231,396,843","2,625,649,220"
Mississippi,"110,964,238","139,779,652","122,882,789","138,526,892","144,719,618","129,680,866","141,342,044","146,419,533","117,780,703","135,673,383","125,118,312","145,583,121","1,598,471,151"
Missouri,"281,760,069","238,556,260","259,750,646","261,316,915","284,481,711","268,150,773","278,416,929","280,103,497","254,811,600","259,657,053","254,000,807","251,660,136","3,172,666,396"
Montana,"32,289,678","34,640,739","38,558,801","36,302,417","44,395,517","47,298,888","51,807,247","51,662,404","41,815,266","41,586,604","38,474,997","37,244,705","496,077,263"
Nebraska,"63,516,152","65,569,937","68,156,509","69,230,352","75,721,205","76,723,939","79,080,567","81,805,132","75,182,273","71,785,893","71,652,781","72,381,229","870,805,969"
Nevada,"69,068,476","71,140,243","78,339,679","76,381,363","81,224,959","80,369,308","84,948,014","84,198,799","78,098,945","80,506,198","76,385,111","79,013,022","939,674,117"
New Hampshire,"51,879,682","52,198,832","53,185,333","50,828,492","59,092,248","59,182,195","61,957,176","63,294,140","57,688,529","56,596,042","55,497,383","62,165,082","683,565,134"
New Jersey,"299,505,638","297,394,762","318,466,533","331,892,686","358,490,238","351,271,495","356,028,886","338,033,352","376,124,105","336,889,000","312,061,305","347,802,219","4,023,960,219"
New Mexico,"48,718,429","101,855,169","56,260,482","104,535,180","100,799,278","78,150,774","103,026,597","80,824,052","87,643,931","67,529,972","80,610,237","87,674,343","997,628,444"
New York,"427,153,308","421,236,095","451,458,874","442,722,773","515,954,166","490,550,846","519,953,500","500,311,644","467,346,300","488,447,225","447,480,342","467,273,672","5,639,888,745"
North Carolina,"246,532,650","322,211,598","353,117,234","338,465,225","365,441,762","362,848,932","353,474,117","376,075,154","340,185,395","360,399,504","344,451,799","351,635,516","4,114,838,886"
North Dakota,"24,756,091","27,221,894","26,886,464","28,138,886","29,769,721","32,700,712","37,532,688","36,354,877","30,447,990","31,630,030","29,274,497","29,988,131","364,701,981"
Ohio,"393,113,004","391,791,600","434,234,139","423,243,677","454,767,030","449,399,662","453,672,565","461,724,448","429,779,172","440,984,987","427,067,241","447,085,152","5,206,862,677"
Oklahoma,"132,439,173","140,201,398","160,488,834","157,640,520","149,016,370","143,533,747","156,252,407","154,648,676","147,942,478","153,438,659","152,701,565","152,400,435","1,800,704,262"
Oregon,"104,705,074","119,696,629","126,687,379","122,392,024","133,670,241","138,635,498","136,594,486","142,983,626","128,304,231","130,147,291","124,408,630","124,829,474","1,533,054,583"
Pennsylvania,"374,345,098","375,018,663","414,507,680","409,457,164","441,696,793","441,230,688","434,237,307","444,101,008","420,022,606","432,446,002","416,057,879","438,369,125","5,041,490,013"
Rhode Island,"31,719,808","30,633,275","32,737,000","32,874,991","35,462,580","35,976,045","34,749,794","31,814,807","33,611,435","34,307,742","33,058,718","37,411,494","404,357,689"
South Carolina,"162,645,351","175,558,425","194,600,592","187,566,337","200,417,533","195,850,677","197,863,128","198,599,545","180,422,736","191,422,047","182,322,750","187,952,562","2,255,221,683"
South Dakota,"30,351,095","32,019,510","32,421,929","32,827,349","40,984,445","40,846,077","43,525,792","46,678,639","36,860,233","36,588,858","35,612,968","35,089,718","443,806,613"
Tennessee,"250,240,755","232,321,559","237,584,782","244,945,595","241,868,803","245,533,529","275,138,804","250,914,257","234,986,276","252,599,568","248,366,247","242,606,018","2,957,106,193"
Texas,"818,543,692","874,702,966","929,145,232","890,979,249","954,226,501","936,883,302","940,834,796","954,464,854","911,438,477","916,106,419","886,580,759","931,277,047","10,945,183,294"
Utah,"74,658,433","68,869,832","88,431,940","79,364,333","89,232,112","85,968,046","93,069,461","92,808,685","83,561,102","85,353,458","75,098,554","81,362,290","997,778,246"
Vermont,"25,494,936","27,065,113","27,257,770","26,849,788","28,739,173","24,850,729","32,145,835","34,560,272","27,884,401","29,587,949","24,318,317","49,307,090","358,061,373"
Virginia,"266,413,735","302,097,570","279,197,997","302,439,879","337,045,051","287,403,063","304,054,911","356,078,939","301,579,536","319,048,914","297,872,351","290,389,680","3,643,621,626"
Washington,"204,517,317","207,474,042","222,265,696","216,526,517","234,198,638","237,539,460","224,774,439","253,092,452","230,734,018","184,521,955","259,231,262","219,832,749","2,694,708,545"
West Virginia,"64,543,055","70,148,521","55,412,928","77,114,059","72,279,468","72,049,502","74,952,748","76,353,361","69,516,172","70,511,552","65,133,562","64,462,692","832,477,620"
Wisconsin,"178,042,462","184,576,621","195,076,115","200,723,102","226,461,736","214,660,258","235,971,978","228,215,262","206,619,515","198,699,245","206,395,937","223,854,737","2,499,296,968"
Wyoming,"33,653,596","22,328,735","24,961,486","13,642,468","32,275,795","21,403,167","34,453,069","39,232,303","27,189,917","45,498,244","21,560,414","28,018,868","344,218,062"
U.S. Total,"9,953,291,647","10,324,448,097","10,644,252,227","11,108,871,328","11,646,812,614","11,311,124,564","11,539,587,970","11,673,951,532","10,981,972,045","11,252,392,783","10,863,881,919","11,323,091,151","132,623,677,877"
Puerto Rico,"74,009,544","106,570,200","72,541,394","85,654,716","120,886,195","174,574,727","80,630,699","97,640,167","108,483,069","87,746,213","78,260,369","93,747,067","1,180,744,360"
Grand Total,"10,027,301,191","10,431,018,297","10,716,793,621","11,194,526,044","11,767,698,809","11,485,699,291","11,620,218,669","11,771,591,699","11,090,455,114","11,340,138,996","10,942,142,288","11,416,838,218","133,804,422,237"
