"",STATE,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL
Alabama,,"202,802,848","199,070,151","197,378,400","215,207,467","223,632,414","218,541,005","214,071,384","226,551,354","211,270,310","212,688,162","207,440,694","224,069,225","2,552,723,414"
Alaska,,"23,646,787","20,877,270","24,061,554","17,225,214","26,007,168","28,164,276","31,356,143","29,896,449","27,025,462","23,945,858","27,123,091","23,772,332","303,101,604"
Arizona,,"227,588,931","222,095,612","247,418,669","229,054,422","231,059,898","223,741,035","226,834,518","235,233,107","223,840,547","233,556,669","227,225,826","238,717,987","2,766,367,221"
Arkansas,,"117,758,848","114,821,624","127,321,372","124,098,488","128,558,100","125,831,534","132,530,262","127,848,598","122,555,416","19,516,050","221,412,058","125,678,928","1,487,931,278"
California,,"1,293,630,728","1,251,734,914","1,360,361,532","1,326,800,026","1,365,227,161","1,303,872,219","1,370,903,067","1,385,346,996","1,311,230,424","1,330,720,092","1,281,264,889","1,341,862,031","15,922,954,079"
Colorado,,"172,276,334","166,981,281","183,181,309","173,726,301","183,869,846","181,545,770","196,622,873","195,146,126","184,218,371","182,423,160","170,518,797","184,771,195","2,175,281,363"
Connecticut,,"129,200,842","123,500,896","129,811,471","127,610,943","138,024,492","132,655,156","138,186,393","138,211,069","130,938,560","137,890,912","132,168,855","149,204,918","1,607,404,507"
Delaware,,"33,703,658","32,504,897","35,588,223","34,712,818","36,880,053","35,623,211","39,617,633","39,657,039","35,876,746","36,311,402","34,088,910","36,773,015","431,337,605"
District of Columbia,,"14,258,748","13,891,686","14,641,080","12,547,838","13,860,750","12,684,330","12,989,672","12,539,739","12,566,870","13,412,579","12,856,775","12,417,484","158,667,551"
Florida,,"625,475,385","782,562,263","688,176,347","773,142,006","724,892,580","724,881,104","687,557,968","663,009,971","776,586,295","658,248,230","731,135,748","713,759,495","8,549,427,392"
Georgia,,"395,860,930","391,247,318","444,223,278","437,385,398","402,299,684","427,367,846","445,366,297","440,143,365","414,632,802","412,578,166","435,412,081","419,051,824","5,065,568,989"
Hawaii,,"36,607,032","36,868,443","41,637,086","34,551,362","44,575,376","30,449,702","49,260,014","37,874,642","29,825,024","44,561,439","40,043,026","34,352,557","460,605,703"
Idaho,,"44,697,403","53,923,909","44,486,389","44,423,837","54,207,532","54,862,677","52,635,643","55,243,071","59,469,630","62,456,360","64,204,926","55,447,790","646,059,167"
Illinois,,"439,656,846","406,803,708","389,893,514","494,349,322","459,591,105","448,386,296","455,610,975","447,687,975","418,043,948","466,863,315","407,260,523","478,043,569","5,312,191,096"
Indiana,,"254,560,312","250,585,165","271,803,024","276,016,403","284,836,725","282,813,938","291,407,606","288,837,502","271,982,777","275,990,596","266,793,899","282,468,611","3,298,096,558"
Iowa,,"124,871,268","118,157,921","135,940,731","139,731,188","139,337,879","149,533,703","147,377,178","146,918,730","142,161,313","142,930,563","134,316,352","150,459,852","1,671,736,678"
Kansas,,"110,099,380","101,067,217","122,786,683","112,904,605","117,344,653","115,141,193","118,173,920","115,332,078","112,577,871","112,098,741","108,815,584","118,724,390","1,365,066,315"
Kentucky,,"176,423,982","172,731,639","193,297,367","201,461,619","203,367,845","216,325,209","201,519,611","200,112,209","187,973,580","164,305,616","180,430,723","241,808,785","2,339,758,185"
Louisiana,,"187,413,485","183,107,117","217,652,320","194,208,848","211,732,484","194,381,874","212,587,924","197,168,504","245,416,154","191,387,307","185,482,172","202,445,420","2,422,983,609"
Maine,,"59,203,868","53,395,744","57,046,430","55,484,607","60,544,497","60,544,497","66,617,243","71,238,532","62,841,255","62,362,637","56,397,633","58,929,081","724,606,024"
Maryland,,"209,913,097","204,863,392","225,632,390","221,888,270","238,956,231","227,407,557","234,050,551","233,249,962","226,370,038","228,482,714","211,043,418","235,660,128","2,697,517,748"
Massachusetts,,"236,121,491","220,064,119","233,685,529","231,871,466","247,711,207","246,261,143","250,310,379","249,833,423","241,397,092","246,444,188","237,818,326","247,913,115","2,889,431,478"
Michigan,,"388,171,345","393,403,233","399,731,080","422,372,227","427,476,668","406,874,118","455,694,610","453,353,279","428,881,817","415,288,428","415,052,677","430,823,465","5,037,122,947"
Minnesota,,"222,689,787","205,409,981","218,351,233","223,236,218","233,692,785","243,278,120","252,593,244","247,042,474","231,891,760","235,239,552","221,053,249","237,110,842","2,771,589,245"
Mississippi,,"128,546,373","132,586,823","152,441,754","142,652,885","137,894,645","136,440,542","145,814,766","156,519,820","134,882,330","120,897,515","144,866,546","146,274,059","1,679,818,058"
Missouri,,"254,068,100","239,290,506","274,254,033","281,555,174","284,071,300","285,241,195","286,827,020","294,008,382","273,486,158","273,567,110","265,353,252","284,165,642","3,295,887,872"
