"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Alabama,,"216,882,338","211,862,943","204,712,882","218,589,888","219,594,369","221,232,206","216,138,899","224,392,855","222,327,147","197,736,082","226,202,901","204,727,088","2,584,399,598"
Alaska,,"22,191,107","20,977,518","23,060,063","26,629,411","22,124,168","26,187,520","27,467,392","27,126,846","24,619,608","24,459,204","21,697,289","22,969,807","289,509,933"
Arizona,,"237,735,857","230,033,664","248,575,658","235,233,992","233,897,524","217,063,368","221,621,935","232,145,451","213,248,662","218,407,785","208,564,755","223,636,803","2,720,165,454"
Arkansas,,"113,868,719","110,523,168","116,694,826","116,483,654","123,554,251","119,595,062","123,663,037","123,781,773","113,524,939","122,954,123","121,021,100","123,476,675","1,429,141,327"
California,,"1,235,578,651","1,284,905,800","1,310,504,889","1,260,562,575","1,285,866,470","1,216,217,239","1,257,480,310","1,259,535,970","1,218,721,221","1,257,964,590","1,198,156,884","1,266,434,318","15,051,928,917"
Colorado,,"166,019,508","166,334,148","178,777,837","171,883,092","181,178,384","176,623,366","180,056,466","187,258,140","173,990,040","178,112,083","165,076,750","176,350,329","2,101,660,143"
Connecticut,,"123,519,489","115,965,136","125,714,830","122,937,923","127,579,261","122,034,131","124,156,667","127,306,961","119,309,828","130,851,547","125,348,709","129,439,562","1,494,164,044"
Delaware,,"35,504,512","34,109,013","32,805,985","39,977,817","37,190,489","36,709,783","40,002,539","39,084,638","36,411,927","38,864,449","37,099,110","38,110,716","445,870,978"
District of Columbia,,"10,562,699","10,418,711","10,783,822","10,632,084","10,777,138","10,316,209","8,890,753","9,289,008","7,205,281","10,080,530","8,956,112","7,894,548","115,806,895"
Florida,,"701,297,013","697,010,762","703,331,573","745,561,279","702,104,637","702,782,077","655,577,910","677,075,184","679,223,459","639,917,857","690,377,135","667,349,107","8,261,607,993"
Georgia,,"394,068,831","385,280,398","420,897,420","402,935,087","410,856,951","387,210,654","394,704,276","403,863,144","360,545,684","412,228,878","390,254,165","404,310,229","4,767,155,717"
Hawaii,,"38,754,748","33,786,991","31,938,145","40,309,489","48,223,077","36,490,285","38,460,188","31,761,941","37,970,648","35,681,405","42,809,691","29,988,428","446,175,036"
Idaho,,"61,772,664","54,300,177","49,836,032","47,628,783","51,425,437","57,830,679","57,272,564","55,933,449","55,067,247","61,489,424","55,542,142","50,804,436","658,903,034"
Illinois,,"382,278,430","405,192,545","369,873,431","438,363,049","448,804,533","416,651,039","422,284,947","407,621,030","386,672,120","360,181,541","436,064,011","422,353,020","4,896,339,696"
Indiana,,"254,444,805","238,608,270","255,448,489","252,201,729","269,303,668","258,060,971","268,186,531","269,157,220","246,077,604","267,341,317","255,879,820","261,155,099","3,095,865,523"
Iowa,,"131,335,595","118,349,375","127,580,345","130,344,279","141,632,238","138,291,804","141,342,676","143,506,160","135,282,120","142,948,159","134,692,325","138,703,935","1,624,009,011"
Kansas,,"107,280,267","102,014,949","109,594,138","109,080,386","114,222,495","108,875,708","113,019,118","111,194,350","105,140,768","110,781,697","105,618,539","114,398,573","1,311,220,988"
Kentucky,,"174,127,607","159,909,570","171,617,717","178,332,685","184,093,044","180,477,934","185,803,255","186,284,634","172,639,199","186,541,839","178,605,473","185,841,326","2,144,274,283"
Louisiana,,"178,657,973","181,323,969","197,452,885","191,186,745","197,220,546","189,603,306","170,988,307","175,853,328","161,275,016","148,982,386","169,481,604","198,720,919","2,160,746,984"
Maine,,"64,015,310","47,977,630","77,906,109","51,208,271","50,035,423","59,081,045","53,342,435","63,298,210","65,094,864","54,697,487","56,011,380","50,904,765","693,572,929"
Maryland,,"220,535,010","216,533,300","228,056,475","228,201,074","261,172,935","231,407,559","232,724,181","236,647,172","225,668,441","247,419,777","228,981,091","238,721,441","2,796,068,456"
Massachusetts,,"229,091,688","214,346,586","232,819,346","226,542,473","240,359,137","235,745,102","241,122,900","242,910,924","242,374,512","236,798,154","230,137,036","235,487,698","2,807,735,556"
Michigan,,"374,276,446","354,381,870","375,714,194","382,352,217","393,031,608","362,663,514","419,388,188","418,876,493","384,663,142","400,581,020","352,463,023","382,656,110","4,601,047,825"
Minnesota,,"214,388,797","205,213,958","209,801,032","207,557,240","227,938,044","218,148,927","229,508,057","230,759,935","215,317,795","226,795,836","212,018,994","227,753,402","2,625,202,017"
Mississippi,,"132,473,716","121,944,996","145,208,080","133,626,891","142,607,227","139,888,751","141,033,682","153,484,149","101,921,142","159,431,250","134,924,542","138,735,050","1,645,279,476"
