Date_ca,retail (nominal)_ca,date,Date_sf,retail (nominal)_sf,diff
1/5/15,2.721,1/5/15,1/5/15,2.799,0.078
1/12/15,2.643,1/12/15,1/12/15,2.698,0.055
1/19/15,2.532,1/19/15,1/19/15,2.624,0.092
1/26/15,2.489,1/26/15,1/26/15,2.59,0.101
2/2/15,2.491,2/2/15,2/2/15,2.589,0.098
2/9/15,2.676,2/9/15,2/9/15,2.732,0.056
2/16/15,2.847,2/16/15,2/16/15,2.834,-0.013
2/23/15,3.009,2/23/15,2/23/15,2.952,-0.057
3/2/15,3.468,3/2/15,3/2/15,3.457,-0.011
3/9/15,3.489,3/9/15,3/9/15,3.49,0.001
3/16/15,3.41,3/16/15,3/16/15,3.412,0.002
3/23/15,3.316,3/23/15,3/23/15,3.331,0.015
3/30/15,3.258,3/30/15,3/30/15,3.283,0.025
4/6/15,3.2,4/6/15,4/6/15,3.231,0.031
4/13/15,3.153,4/13/15,4/13/15,3.202,0.049
4/20/15,3.207,4/20/15,4/20/15,3.248,0.041
4/27/15,3.483,4/27/15,4/27/15,3.489,0.006
5/4/15,3.764,5/4/15,5/4/15,3.783,0.019
5/11/15,3.781,5/11/15,5/11/15,3.75,-0.031
5/18/15,3.859,5/18/15,5/18/15,3.771,-0.088
5/25/15,3.811,5/25/15,5/25/15,3.734,-0.077
6/1/15,3.743,6/1/15,6/1/15,3.676,-0.067
6/8/15,3.643,6/8/15,6/8/15,3.619,-0.024
6/15/15,3.562,6/15/15,6/15/15,3.573,0.011
6/22/15,3.531,6/22/15,6/22/15,3.546,0.015
6/29/15,3.502,6/29/15,6/29/15,3.521,0.019
7/6/15,3.484,7/6/15,7/6/15,3.521,0.037
7/13/15,3.939,7/13/15,7/13/15,3.605,-0.334
7/20/15,3.954,7/20/15,7/20/15,3.615,-0.339
7/27/15,3.869,7/27/15,7/27/15,3.607,-0.262
8/3/15,3.781,8/3/15,8/3/15,3.571,-0.21
8/10/15,3.619,8/10/15,8/10/15,3.478,-0.141
8/17/15,3.638,8/17/15,8/17/15,3.485,-0.153
8/24/15,3.537,8/24/15,8/24/15,3.383,-0.154
8/31/15,3.397,8/31/15,8/31/15,3.293,-0.104
9/7/15,3.32,9/7/15,9/7/15,3.232,-0.088
9/14/15,3.208,9/14/15,9/14/15,3.14,-0.068
9/21/15,3.124,9/21/15,9/21/15,3.06,-0.064
9/28/15,3.047,9/28/15,9/28/15,3.028,-0.019
10/5/15,3.001,10/5/15,10/5/15,2.991,-0.01
10/12/15,2.966,10/12/15,10/12/15,2.966,0
10/19/15,2.912,10/19/15,10/19/15,2.936,0.024
10/26/15,2.899,10/26/15,10/26/15,2.91,0.011
11/2/15,2.873,11/2/15,11/2/15,2.881,0.008
11/9/15,2.877,11/9/15,11/9/15,2.892,0.015
11/16/15,2.833,11/16/15,11/16/15,2.867,0.034
11/23/15,2.767,11/23/15,11/23/15,2.805,0.038
11/30/15,2.743,11/30/15,11/30/15,2.79,0.047
12/7/15,2.729,12/7/15,12/7/15,2.734,0.005
12/14/15,2.706,12/14/15,12/14/15,2.717,0.011
12/21/15,2.789,12/21/15,12/21/15,2.768,-0.021
12/28/15,2.879,12/28/15,12/28/15,2.793,-0.086
1/4/16,2.93,1/4/16,1/4/16,2.806,-0.124
1/11/16,2.897,1/11/16,1/11/16,2.791,-0.106
