all-urban cpi,date
215.949,12/1/09
216.33,11/1/09
216.177,10/1/09
215.969,9/1/09
215.834,8/1/09
215.351,7/1/09
215.693,6/1/09
213.856,5/1/09
213.24,4/1/09
212.709,3/1/09
212.193,2/1/09
211.143,1/1/09
210.228,12/1/08
212.425,11/1/08
216.573,10/1/08
218.783,9/1/08
219.086,8/1/08
219.964,7/1/08
218.815,6/1/08
216.632,5/1/08
214.823,4/1/08
213.528,3/1/08
211.693,2/1/08
211.08,1/1/08
210.036,12/1/07
210.177,11/1/07
208.936,10/1/07
208.49,9/1/07
207.917,8/1/07
208.299,7/1/07
208.352,6/1/07
207.949,5/1/07
206.686,4/1/07
205.352,3/1/07
203.499,2/1/07
202.416,1/1/07
201.8,12/1/06
201.5,11/1/06
201.8,10/1/06
202.9,9/1/06
203.9,8/1/06
203.5,7/1/06
202.9,6/1/06
202.5,5/1/06
201.5,4/1/06
199.8,3/1/06
198.7,2/1/06
198.3,1/1/06
196.8,12/1/05
197.6,11/1/05
199.2,10/1/05
198.8,9/1/05
196.4,8/1/05
195.4,7/1/05
194.5,6/1/05
194.4,5/1/05
194.6,4/1/05
193.3,3/1/05
191.8,2/1/05
190.7,1/1/05
190.3,12/1/04
191,11/1/04
190.9,10/1/04
189.9,9/1/04
189.5,8/1/04
189.4,7/1/04
189.7,6/1/04
189.1,5/1/04
188,4/1/04
187.4,3/1/04
186.2,2/1/04
185.2,1/1/04
184.3,12/1/03
184.5,11/1/03
185,10/1/03
185.2,9/1/03
184.6,8/1/03
183.9,7/1/03
183.7,6/1/03
183.5,5/1/03
183.8,4/1/03
184.2,3/1/03
183.1,2/1/03
181.7,1/1/03
180.9,12/1/02
181.3,11/1/02
181.3,10/1/02
181,9/1/02
180.7,8/1/02
180.1,7/1/02
179.9,6/1/02
179.8,5/1/02
179.8,4/1/02
178.8,3/1/02
177.8,2/1/02
177.1,1/1/02
176.7,12/1/01
177.4,11/1/01
177.7,10/1/01
178.3,9/1/01
177.5,8/1/01
177.5,7/1/01
178,6/1/01
177.7,5/1/01
176.9,4/1/01
176.2,3/1/01
175.8,2/1/01
175.1,1/1/01
174,12/1/00
174.1,11/1/00
174,10/1/00
173.7,9/1/00
172.8,8/1/00
172.8,7/1/00
172.4,6/1/00
171.5,5/1/00
171.3,4/1/00
171.2,3/1/00
169.8,2/1/00
168.8,1/1/00
256.974,12/1/19
257.208,11/1/19
257.346,10/1/19
256.759,9/1/19
256.558,8/1/19
256.571,7/1/19
256.143,6/1/19
256.092,5/1/19
255.548,4/1/19
254.202,3/1/19
252.776,2/1/19
251.712,1/1/19
251.233,12/1/18
252.038,11/1/18
252.885,10/1/18
252.439,9/1/18
252.146,8/1/18
252.006,7/1/18
251.989,6/1/18
251.588,5/1/18
250.546,4/1/18
249.554,3/1/18
248.991,2/1/18
247.867,1/1/18
246.524,12/1/17
246.669,11/1/17
246.663,10/1/17
246.819,9/1/17
245.519,8/1/17
244.786,7/1/17
244.955,6/1/17
244.733,5/1/17
244.524,4/1/17
243.801,3/1/17
243.603,2/1/17
242.839,1/1/17
241.432,12/1/16
241.353,11/1/16
241.729,10/1/16
241.428,9/1/16
240.849,8/1/16
240.628,7/1/16
241.018,6/1/16
240.229,5/1/16
239.261,4/1/16
238.132,3/1/16
237.111,2/1/16
236.916,1/1/16
236.525,12/1/15
237.336,11/1/15
237.838,10/1/15
237.945,9/1/15
238.316,8/1/15
238.654,7/1/15
238.638,6/1/15
237.805,5/1/15
236.599,4/1/15
236.119,3/1/15
234.722,2/1/15
233.707,1/1/15
234.812,12/1/14
236.151,11/1/14
237.433,10/1/14
238.031,9/1/14
237.852,8/1/14
238.25,7/1/14
238.343,6/1/14
237.9,5/1/14
237.072,4/1/14
236.293,3/1/14
234.781,2/1/14
233.916,1/1/14
233.049,12/1/13
233.069,11/1/13
233.546,10/1/13
234.149,9/1/13
233.877,8/1/13
233.596,7/1/13
233.504,6/1/13
232.945,5/1/13
232.531,4/1/13
232.773,3/1/13
232.166,2/1/13
230.28,1/1/13
229.601,12/1/12
230.221,11/1/12
231.317,10/1/12
231.407,9/1/12
230.379,8/1/12
229.104,7/1/12
229.478,6/1/12
229.815,5/1/12
230.085,4/1/12
229.392,3/1/12
227.663,2/1/12
226.665,1/1/12
225.672,12/1/11
226.23,11/1/11
226.421,10/1/11
226.889,9/1/11
226.545,8/1/11
225.922,7/1/11
225.722,6/1/11
225.964,5/1/11
224.906,4/1/11
223.467,3/1/11
221.309,2/1/11
220.223,1/1/11
219.179,12/1/10
218.803,11/1/10
218.711,10/1/10
218.439,9/1/10
218.312,8/1/10
218.011,7/1/10
217.965,6/1/10
218.178,5/1/10
218.009,4/1/10
217.631,3/1/10
216.741,2/1/10
216.687,1/1/10
314.175,6/1/24
314.069,5/1/24
313.548,4/1/24
312.332,3/1/24
310.326,2/1/24
308.417,1/1/24
306.746,12/1/23
307.051,11/1/23
307.671,10/1/23
307.789,9/1/23
307.026,8/1/23
305.691,7/1/23
305.109,6/1/23
304.127,5/1/23
303.363,4/1/23
301.836,3/1/23
300.84,2/1/23
299.17,1/1/23
296.797,12/1/22
297.711,11/1/22
298.012,10/1/22
296.808,9/1/22
296.171,8/1/22
296.276,7/1/22
296.311,6/1/22
292.296,5/1/22
289.109,4/1/22
287.504,3/1/22
283.716,2/1/22
281.148,1/1/22
278.802,12/1/21
277.948,11/1/21
276.589,10/1/21
274.31,9/1/21
273.567,8/1/21
273.003,7/1/21
271.696,6/1/21
269.195,5/1/21
267.054,4/1/21
264.877,3/1/21
263.014,2/1/21
261.582,1/1/21
260.474,12/1/20
260.229,11/1/20
260.388,10/1/20
260.28,9/1/20
259.918,8/1/20
259.101,7/1/20
257.797,6/1/20
256.394,5/1/20
256.389,4/1/20
258.115,3/1/20
258.678,2/1/20
257.971,1/1/20
