state,value,date
Alabama,"181,406,049",2000-01-01
Alaska,"20,128,352",2000-01-01
Arizona,"182,559,282",2000-01-01
Arkansas,"114,892,489",2000-01-01
California,"1,083,914,000",2000-01-01
Colorado,"91,280,014",2000-01-01
Connecticut,"112,891,356",2000-01-01
Delaware,"28,419,506",2000-01-01
Dist. of Col.,"13,862,289",2000-01-01
Florida,"653,038,070",2000-01-01
Georgia,"354,458,146",2000-01-01
Hawaii,"31,812,456",2000-01-01
Idaho,"54,257,313",2000-01-01
Illinois,"451,171,338",2000-01-01
Indiana,"239,096,720",2000-01-01
Iowa,"112,228,124",2000-01-01
Kansas,"99,005,646",2000-01-01
Kentucky,"149,601,688",2000-01-01
Louisiana,"171,443,367",2000-01-01
Maine,"51,397,801",2000-01-01
Maryland,"171,878,370",2000-01-01
Massachusetts,"211,707,591",2000-01-01
Michigan,"379,423,414",2000-01-01
Minnesota,"191,847,271",2000-01-01
Mississippi,"110,964,238",2000-01-01
Missouri,"281,760,069",2000-01-01
Montana,"32,289,678",2000-01-01
Nebraska,"63,516,152",2000-01-01
Nevada,"69,068,476",2000-01-01
New Hampshire,"51,879,682",2000-01-01
New Jersey,"299,505,638",2000-01-01
New Mexico,"48,718,429",2000-01-01
New York,"427,153,308",2000-01-01
North Carolina,"246,532,650",2000-01-01
North Dakota,"24,756,091",2000-01-01
Ohio,"393,113,004",2000-01-01
Oklahoma,"132,439,173",2000-01-01
Oregon,"104,705,074",2000-01-01
Pennsylvania,"374,345,098",2000-01-01
Rhode Island,"31,719,808",2000-01-01
South Carolina,"162,645,351",2000-01-01
South Dakota,"30,351,095",2000-01-01
Tennessee,"250,240,755",2000-01-01
Texas,"818,543,692",2000-01-01
Utah,"74,658,433",2000-01-01
Vermont,"25,494,936",2000-01-01
Virginia,"266,413,735",2000-01-01
Washington,"204,517,317",2000-01-01
West Virginia,"64,543,055",2000-01-01
Wisconsin,"178,042,462",2000-01-01
Wyoming,"33,653,596",2000-01-01
