date,california gas (retail) (nominal),national gas (retail) (nominal)
2000-01-03,,1.312
2000-01-10,,1.304
2000-01-17,,1.318
2000-01-24,,1.354
2000-01-31,,1.355
2000-02-07,,1.364
2000-02-14,,1.394
2000-02-21,,1.443
2000-02-28,,1.458
2000-03-06,,1.539
2000-03-13,,1.566
2000-03-20,,1.569
2000-03-27,,1.549
2000-04-03,,1.543
2000-04-10,,1.516
2000-04-17,,1.486
2000-04-24,,1.478
2000-05-01,,1.461
2000-05-08,,1.495
2000-05-15,,1.531
2000-05-22,1.679,1.566
2000-05-29,1.673,1.579
2000-06-05,1.661,1.599
2000-06-12,1.662,1.664
2000-06-19,1.664,1.711
2000-06-26,1.687,1.691
2000-07-03,1.754,1.661
2000-07-10,1.773,1.63
2000-07-17,1.763,1.586
2000-07-24,1.756,1.562
2000-07-31,1.726,1.514
2000-08-07,1.71,1.504
2000-08-14,1.714,1.489
2000-08-21,1.71,1.508
2000-08-28,1.746,1.521
2000-09-04,1.833,1.568
2000-09-11,1.893,1.598
2000-09-18,1.875,1.599
2000-09-25,1.874,1.586
2000-10-02,1.877,1.563
2000-10-09,1.869,1.541
2000-10-16,1.854,1.578
2000-10-23,1.841,1.588
2000-10-30,1.841,1.584
2000-11-06,1.836,1.565
2000-11-13,1.821,1.562
2000-11-20,1.798,1.55
2000-11-27,1.789,1.549
2000-12-04,1.767,1.526
2000-12-11,1.736,1.49
2000-12-18,1.707,1.462
2000-12-25,1.694,1.453
2001-01-01,1.675,1.446
2001-01-08,1.67,1.465
2001-01-15,1.646,1.513
2001-01-22,1.629,1.511
2001-01-29,1.612,1.5
2001-02-05,1.635,1.483
2001-02-12,1.682,1.515
2001-02-19,1.704,1.489
2001-02-26,1.706,1.471
2001-03-05,1.738,1.457
2001-03-12,1.744,1.453
2001-03-19,1.74,1.444
2001-03-26,1.729,1.445
2001-04-02,1.762,1.482
2001-04-09,1.799,1.54
2001-04-16,1.841,1.61
2001-04-23,1.871,1.658
2001-04-30,1.91,1.665
2001-05-07,1.98,1.739
2001-05-14,1.999,1.748
2001-05-21,1.998,1.724
2001-05-28,1.995,1.739
2001-06-04,1.978,1.715
2001-06-11,1.994,1.688
2001-06-18,1.977,1.644
2001-06-25,1.949,1.583
2001-07-02,1.904,1.52
2001-07-09,1.87,1.484
2001-07-16,1.821,1.459
2001-07-23,1.773,1.44
2001-07-30,1.719,1.428
2001-08-06,1.666,1.419
2001-08-13,1.61,1.434
2001-08-20,1.572,1.467
2001-08-27,1.582,1.523
2001-09-03,1.689,1.579
2001-09-10,1.722,1.562
2001-09-17,1.717,1.564
2001-09-24,1.705,1.522
2001-10-01,1.671,1.455
2001-10-08,1.628,1.393
2001-10-15,1.596,1.351
2001-10-22,1.55,1.307
2001-10-29,1.515,1.277
2001-11-05,1.468,1.249
2001-11-12,1.424,1.224
2001-11-19,1.38,1.208
2001-11-26,1.338,1.168
2001-12-03,1.289,1.149
2001-12-10,1.243,1.136
2001-12-17,1.186,1.101
2001-12-24,1.155,1.113
2001-12-31,1.146,1.137
2002-01-07,1.174,1.152
2002-01-14,1.228,1.152
2002-01-21,1.251,1.146
2002-01-28,1.269,1.142
2002-02-04,1.295,1.157
2002-02-11,1.299,1.148
2002-02-18,1.331,1.157
2002-02-25,1.349,1.157
2002-03-04,1.378,1.185
2002-03-11,1.499,1.262
2002-03-18,1.545,1.328
2002-03-25,1.605,1.382
2002-04-01,1.638,1.412
2002-04-08,1.668,1.454
2002-04-15,1.664,1.446
2002-04-22,1.66,1.446
2002-04-29,1.654,1.435
2002-05-06,1.637,1.437
2002-05-13,1.621,1.431
2002-05-20,1.606,1.439
2002-05-27,1.602,1.429
2002-06-03,1.61,1.433
2002-06-10,1.61,1.417
2002-06-17,1.647,1.419
2002-06-24,1.665,1.425
2002-07-01,1.664,1.433
2002-07-08,1.66,1.423
2002-07-15,1.651,1.435
2002-07-22,1.639,1.451
2002-07-29,1.627,1.447
2002-08-05,1.642,1.437
2002-08-12,1.635,1.435
2002-08-19,1.629,1.434
2002-08-26,1.641,1.444
2002-09-02,1.647,1.436
2002-09-09,1.637,1.437
2002-09-16,1.628,1.442
2002-09-23,1.617,1.436
2002-09-30,1.607,1.455
2002-10-07,1.595,1.48
2002-10-14,1.582,1.481
2002-10-21,1.572,1.499
2002-10-28,1.568,1.485
2002-11-04,1.609,1.489
2002-11-11,1.638,1.48
2002-11-18,1.633,1.451
2002-11-25,1.616,1.423
2002-12-02,1.611,1.408
2002-12-09,1.589,1.404
2002-12-16,1.575,1.407
2002-12-23,1.569,1.443
2002-12-30,1.582,1.484
2003-01-06,1.627,1.487
2003-01-13,1.642,1.496
2003-01-20,1.682,1.502
2003-01-27,1.698,1.515
2003-02-03,1.731,1.569
2003-02-10,1.801,1.649
2003-02-17,1.909,1.701
2003-02-24,1.97,1.699
2003-03-03,2.059,1.726
2003-03-10,2.131,1.752
2003-03-17,2.191,1.768
2003-03-24,2.19,1.732
2003-03-31,2.178,1.692
2003-04-07,2.162,1.673
2003-04-14,2.125,1.639
2003-04-21,2.057,1.618
2003-04-28,2.025,1.6
2003-05-05,1.976,1.556
2003-05-12,1.914,1.534
2003-05-19,1.858,1.539
2003-05-26,1.81,1.528
2003-06-02,1.778,1.514
2003-06-09,1.742,1.53
2003-06-16,1.832,1.558
2003-06-23,1.849,1.537
2003-06-30,1.845,1.528
2003-07-07,1.83,1.53
2003-07-14,1.802,1.563
2003-07-21,1.771,1.566
2003-07-28,1.754,1.558
2003-08-04,1.75,1.576
2003-08-11,1.789,1.611
2003-08-18,1.965,1.668
2003-08-25,2.147,1.787
2003-09-01,2.146,1.786
2003-09-08,2.131,1.758
2003-09-15,2.08,1.739
2003-09-22,2.024,1.686
2003-09-29,1.958,1.635
2003-10-06,1.902,1.617
2003-10-13,1.853,1.611
2003-10-20,1.817,1.612
2003-10-27,1.784,1.584
2003-11-03,1.76,1.577
2003-11-10,1.734,1.547
2003-11-17,1.727,1.54
2003-11-24,1.738,1.554
2003-12-01,1.727,1.533
2003-12-08,1.7,1.519
2003-12-15,1.672,1.509
2003-12-22,1.663,1.528
2003-12-29,1.645,1.521
2004-01-05,1.664,1.552
2004-01-12,1.714,1.603
2004-01-19,1.737,1.637
2004-01-26,1.773,1.664
2004-02-02,1.8,1.66
2004-02-09,1.869,1.681
2004-02-16,1.913,1.69
2004-02-23,2.075,1.73
2004-03-01,2.156,1.758
2004-03-08,2.16,1.78
2004-03-15,2.144,1.767
2004-03-22,2.131,1.785
2004-03-29,2.126,1.8
2004-04-05,2.173,1.822
2004-04-12,2.204,1.827
2004-04-19,2.194,1.853
2004-04-26,2.17,1.853
2004-05-03,2.162,1.884
2004-05-10,2.271,1.979
2004-05-17,2.316,2.055
2004-05-24,2.369,2.104
2004-05-31,2.374,2.092
2004-06-07,2.363,2.075
2004-06-14,2.337,2.029
2004-06-21,2.306,1.981
2004-06-28,2.281,1.965
2004-07-05,2.25,1.939
2004-07-12,2.241,1.959
2004-07-19,2.234,1.971
2004-07-26,2.208,1.948
2004-08-02,2.173,1.93
2004-08-09,2.139,1.92
2004-08-16,2.1,1.917
2004-08-23,2.097,1.926
2004-08-30,2.146,1.909
2004-09-06,2.118,1.893
2004-09-13,2.098,1.889
2004-09-20,2.103,1.908
2004-09-27,2.14,1.959
2004-10-04,2.243,1.98
2004-10-11,2.372,2.035
2004-10-18,2.448,2.077
2004-10-25,2.441,2.074
2004-11-01,2.416,2.076
2004-11-08,2.387,2.045
2004-11-15,2.356,2.014
2004-11-22,2.309,1.992
2004-11-29,2.281,1.989
2004-12-06,2.238,1.956
2004-12-13,2.182,1.893
2004-12-20,2.096,1.861
2004-12-27,2.055,1.838
2005-01-03,2.029,1.824
2005-01-10,1.981,1.837
2005-01-17,1.982,1.863
2005-01-24,2.007,1.896
2005-01-31,2.081,1.953
2005-02-07,2.1,1.952
2005-02-14,2.137,1.941
2005-02-21,2.195,1.948
2005-02-28,2.221,1.969
2005-03-07,2.274,2.04
2005-03-14,2.332,2.098
2005-03-21,2.358,2.149
2005-03-28,2.421,2.194
2005-04-04,2.508,2.258
2005-04-11,2.637,2.321
2005-04-18,2.629,2.28
2005-04-25,2.611,2.279
2005-05-02,2.605,2.277
2005-05-09,2.561,2.231
2005-05-16,2.519,2.206
2005-05-23,2.48,2.169
2005-05-30,2.437,2.141
2005-06-06,2.405,2.159
2005-06-13,2.378,2.173
2005-06-20,2.398,2.204
2005-06-27,2.458,2.257
2005-07-04,2.501,2.268
2005-07-11,2.568,2.369
2005-07-18,2.581,2.36
2005-07-25,2.585,2.333
2005-08-01,2.593,2.335
2005-08-08,2.645,2.41
2005-08-15,2.76,2.592
2005-08-22,2.793,2.654
2005-08-29,2.812,2.653
2005-09-05,3.096,3.117
2005-09-12,3.046,3.002
2005-09-19,2.997,2.835
2005-09-26,2.989,2.851
2005-10-03,3.017,2.975
2005-10-10,3.008,2.896
2005-10-17,2.945,2.775
2005-10-24,2.869,2.652
2005-10-31,2.79,2.528
2005-11-07,2.703,2.424
2005-11-14,2.624,2.342
2005-11-21,2.498,2.247
2005-11-28,2.456,2.2
2005-12-05,2.379,2.191
2005-12-12,2.323,2.228
2005-12-19,2.295,2.255
2005-12-26,2.278,2.241
2006-01-02,2.259,2.281
2006-01-09,2.372,2.371
2006-01-16,2.462,2.366
2006-01-23,2.469,2.382
2006-01-30,2.558,2.402
2006-02-06,2.589,2.388
2006-02-13,2.567,2.331
2006-02-20,2.519,2.286
2006-02-27,2.484,2.298
2006-03-06,2.525,2.373
2006-03-13,2.578,2.408
2006-03-20,2.68,2.548
2006-03-27,2.714,2.542
2006-04-03,2.788,2.631
2006-04-10,2.856,2.727
2006-04-17,2.942,2.828
2006-04-24,3.114,2.96
2006-05-01,3.248,2.966
2006-05-08,3.379,2.955
2006-05-15,3.376,2.992
2006-05-22,3.37,2.938
2006-05-29,3.312,2.913
2006-06-05,3.316,2.937
2006-06-12,3.271,2.951
2006-06-19,3.245,2.917
2006-06-26,3.209,2.914
2006-07-03,3.234,2.979
2006-07-10,3.271,3.017
2006-07-17,3.286,3.033
2006-07-24,3.267,3.048
2006-07-31,3.244,3.05
2006-08-07,3.239,3.083
2006-08-14,3.259,3.047
2006-08-21,3.208,2.971
2006-08-28,3.143,2.893
2006-09-04,3.055,2.777
2006-09-11,2.994,2.67
2006-09-18,2.894,2.549
2006-09-25,2.806,2.429
2006-10-02,2.728,2.36
2006-10-09,2.646,2.31
2006-10-16,2.585,2.274
2006-10-23,2.525,2.255
2006-10-30,2.479,2.264
2006-11-06,2.442,2.246
2006-11-13,2.509,2.278
2006-11-20,2.541,2.285
2006-11-27,2.539,2.292
2006-12-04,2.541,2.342
2006-12-11,2.549,2.34
2006-12-18,2.606,2.366
2006-12-25,2.651,2.387
2007-01-01,2.656,2.382
2007-01-08,2.677,2.354
2007-01-15,2.628,2.28
2007-01-22,2.584,2.216
2007-01-29,2.535,2.213
2007-02-05,2.579,2.237
2007-02-12,2.677,2.287
2007-02-19,2.755,2.341
2007-02-26,2.841,2.428
2007-03-05,2.941,2.551
2007-03-12,3.114,2.605
2007-03-19,3.167,2.623
2007-03-26,3.198,2.655
2007-04-02,3.275,2.753
2007-04-09,3.299,2.848
2007-04-16,3.352,2.922
2007-04-23,3.363,2.917
2007-04-30,3.407,3.017
2007-05-07,3.508,3.097
2007-05-14,3.497,3.143
2007-05-21,3.482,3.258
2007-05-28,3.454,3.25
2007-06-04,3.422,3.2
2007-06-11,3.369,3.122
2007-06-18,3.285,3.057
2007-06-25,3.241,3.029
2007-07-02,3.205,3.005
2007-07-09,3.184,3.026
2007-07-16,3.205,3.092
2007-07-23,3.167,3.005
2007-07-30,3.107,2.926
2007-08-06,3.065,2.888
2007-08-13,2.974,2.821
2007-08-20,2.911,2.832
2007-08-27,2.84,2.796
2007-09-03,2.84,2.84
2007-09-10,2.888,2.862
2007-09-17,2.951,2.835
2007-09-24,3.009,2.86
2007-10-01,3.021,2.838
2007-10-08,3.044,2.821
2007-10-15,3.1,2.813
2007-10-22,3.19,2.873
2007-10-29,3.205,2.921
2007-11-05,3.277,3.06
2007-11-12,3.412,3.158
2007-11-19,3.442,3.148
2007-11-26,3.444,3.147
2007-12-03,3.408,3.113
2007-12-10,3.374,3.053
2007-12-17,3.331,3.05
2007-12-24,3.307,3.032
2007-12-31,3.346,3.104
2008-01-07,3.376,3.159
2008-01-14,3.337,3.119
2008-01-21,3.275,3.07
2008-01-28,3.196,3.03
2008-02-04,3.156,3.03
2008-02-11,3.157,3.011
2008-02-18,3.237,3.092
2008-02-25,3.374,3.18
2008-03-03,3.504,3.212
2008-03-10,3.584,3.273
2008-03-17,3.651,3.332
2008-03-24,3.649,3.31
2008-03-31,3.656,3.339
2008-04-07,3.731,3.381
2008-04-14,3.822,3.438
2008-04-21,3.892,3.557
2008-04-28,3.938,3.653
2008-05-05,3.949,3.663
2008-05-12,3.966,3.771
2008-05-19,3.999,3.84
2008-05-26,4.145,3.986
2008-06-02,4.288,4.026
2008-06-09,4.479,4.09
2008-06-16,4.636,4.134
2008-06-23,4.633,4.131
2008-06-30,4.621,4.146
2008-07-07,4.598,4.165
2008-07-14,4.568,4.164
2008-07-21,4.51,4.118
2008-07-28,4.367,4.01
2008-08-04,4.254,3.935
2008-08-11,4.166,3.864
2008-08-18,4.085,3.794
2008-08-25,4.005,3.738
2008-09-01,3.954,3.733
2008-09-08,3.908,3.701
2008-09-15,3.854,3.887
2008-09-22,3.774,3.772
2008-09-29,3.72,3.687
2008-10-06,3.649,3.543
2008-10-13,3.52,3.213
2008-10-20,3.406,2.974
2008-10-27,3.183,2.718
2008-11-03,2.836,2.462
2008-11-10,2.605,2.284
2008-11-17,2.425,2.132
2008-11-24,2.163,1.952
2008-12-01,2.004,1.87
2008-12-08,1.854,1.758
2008-12-15,1.786,1.716
2008-12-22,1.854,1.71
2008-12-29,1.858,1.67
2009-01-05,1.92,1.737
2009-01-12,2.033,1.835
2009-01-19,2.11,1.898
2009-01-26,2.139,1.89
2009-02-02,2.158,1.944
2009-02-09,2.26,1.978
2009-02-16,2.336,2.016
2009-02-23,2.306,1.963
2009-03-02,2.245,1.988
2009-03-09,2.243,1.993
2009-03-16,2.209,1.964
2009-03-23,2.202,2.014
2009-03-30,2.294,2.097
2009-04-06,2.355,2.09
2009-04-13,2.382,2.104
2009-04-20,2.386,2.112
2009-04-27,2.386,2.102
2009-05-04,2.4,2.129
2009-05-11,2.47,2.29
2009-05-18,2.57,2.36
2009-05-25,2.683,2.485
2009-06-01,2.801,2.572
2009-06-08,2.937,2.673
2009-06-15,3.025,2.722
2009-06-22,3.052,2.743
2009-06-29,3.03,2.695
2009-07-06,2.999,2.666
2009-07-13,2.928,2.584
2009-07-20,2.877,2.519
2009-07-27,2.876,2.557
2009-08-03,2.943,2.61
2009-08-10,3.087,2.7
2009-08-17,3.094,2.691
2009-08-24,3.078,2.682
2009-08-31,3.083,2.667
2009-09-07,3.146,2.642
2009-09-14,3.199,2.632
2009-09-21,3.186,2.607
2009-09-28,3.145,2.554
2009-10-05,3.115,2.523
2009-10-12,3.062,2.543
2009-10-19,3.036,2.626
2009-10-26,3.034,2.727
2009-11-02,3.036,2.746
2009-11-09,3.029,2.72
2009-11-16,3.009,2.684
2009-11-23,2.989,2.694
2009-11-30,2.969,2.684
2009-12-07,2.961,2.689
2009-12-14,2.953,2.655
2009-12-21,2.96,2.645
2009-12-28,2.981,2.662
2010-01-04,3.035,2.718
2010-01-11,3.093,2.804
2010-01-18,3.074,2.793
2010-01-25,3.056,2.76
2010-02-01,3.023,2.717
2010-02-08,3.009,2.707
2010-02-15,2.975,2.664
2010-02-22,2.966,2.709
2010-03-01,3.046,2.756
2010-03-08,3.093,2.804
2010-03-15,3.108,2.841
2010-03-22,3.138,2.87
2010-03-29,3.134,2.851
2010-04-05,3.136,2.877
2010-04-12,3.143,2.909
2010-04-19,3.138,2.911
2010-04-26,3.136,2.901
2010-05-03,3.164,2.95
2010-05-10,3.186,2.958
2010-05-17,3.165,2.918
2010-05-24,3.096,2.842
2010-05-31,3.071,2.784
2010-06-07,3.116,2.78
2010-06-14,3.101,2.756
2010-06-21,3.147,2.795
2010-06-28,3.173,2.809
2010-07-05,3.164,2.779
2010-07-12,3.161,2.771
2010-07-19,3.178,2.775
2010-07-26,3.181,2.801
2010-08-02,3.176,2.788
2010-08-09,3.219,2.835
2010-08-16,3.21,2.798
2010-08-23,3.187,2.759
2010-08-30,3.138,2.736
2010-09-06,3.088,2.735
2010-09-13,3.073,2.772
2010-09-20,3.052,2.775
2010-09-27,3.044,2.747
2010-10-04,3.061,2.784
2010-10-11,3.136,2.871
2010-10-18,3.194,2.887
2010-10-25,3.191,2.87
2010-11-01,3.193,2.861
2010-11-08,3.189,2.917
2010-11-15,3.222,2.944
2010-11-22,3.218,2.931
2010-11-29,3.201,2.912
2010-12-06,3.264,3.013
2010-12-13,3.296,3.035
2010-12-20,3.294,3.037
2010-12-27,3.333,3.106
2011-01-03,3.355,3.124
2011-01-10,3.38,3.142
2011-01-17,3.396,3.158
2011-01-24,3.402,3.163
2011-01-31,3.41,3.155
2011-02-07,3.444,3.185
2011-02-14,3.492,3.193
2011-02-21,3.601,3.243
2011-02-28,3.765,3.435
2011-03-07,3.92,3.572
2011-03-14,4.0,3.621
2011-03-21,4.012,3.617
2011-03-28,4.074,3.65
2011-04-04,4.103,3.737
2011-04-11,4.208,3.843
2011-04-18,4.251,3.896
2011-04-25,4.263,3.932
2011-05-02,4.303,4.014
2011-05-09,4.302,4.018
2011-05-16,4.265,4.014
2011-05-23,4.17,3.904
2011-05-30,4.105,3.848
2011-06-06,4.041,3.833
2011-06-13,3.987,3.767
2011-06-20,3.947,3.708
2011-06-27,3.886,3.631
2011-07-04,3.84,3.634
2011-07-11,3.826,3.695
2011-07-18,3.846,3.736
2011-07-25,3.865,3.754
2011-08-01,3.857,3.766
2011-08-08,3.844,3.73
2011-08-15,3.78,3.662
2011-08-22,3.781,3.638
2011-08-29,3.855,3.682
2011-09-05,3.99,3.727
2011-09-12,3.99,3.715
2011-09-19,3.969,3.657
2011-09-26,3.934,3.568
2011-10-03,3.881,3.492
2011-10-10,3.862,3.476
2011-10-17,3.91,3.533
2011-10-24,3.905,3.52
2011-10-31,3.894,3.511
2011-11-07,3.903,3.482
2011-11-14,3.89,3.495
2011-11-21,3.834,3.427
2011-11-28,3.766,3.368
2011-12-05,3.704,3.35
2011-12-12,3.66,3.346
2011-12-19,3.604,3.29
2011-12-26,3.624,3.317
2012-01-02,3.684,3.358
2012-01-09,3.755,3.441
2012-01-16,3.747,3.451
2012-01-23,3.762,3.45
2012-01-30,3.787,3.5
2012-02-06,3.805,3.542
2012-02-13,3.882,3.584
2012-02-20,4.081,3.652
2012-02-27,4.338,3.78
2012-03-05,4.405,3.849
2012-03-12,4.424,3.884
2012-03-19,4.422,3.923
2012-03-26,4.406,3.973
2012-04-02,4.369,3.996
2012-04-09,4.327,3.997
2012-04-16,4.282,3.98
2012-04-23,4.25,3.929
2012-04-30,4.233,3.889
2012-05-07,4.259,3.849
2012-05-14,4.414,3.814
2012-05-21,4.382,3.773
2012-05-28,4.358,3.728
2012-06-04,4.307,3.671
2012-06-11,4.211,3.629
2012-06-18,4.076,3.589
2012-06-25,3.936,3.494
2012-07-02,3.819,3.415
2012-07-09,3.779,3.469
2012-07-16,3.8,3.485
2012-07-23,3.858,3.554
2012-07-30,3.849,3.568
2012-08-06,3.915,3.702
