state,gasoline sales,date
Alabama,181406049.0,2000-01-01
Alabama,192300889.0,2000-02-01
Alabama,203331090.0,2000-03-01
Alabama,206351945.0,2000-04-01
Alabama,218218505.0,2000-05-01
Alabama,206282006.0,2000-06-01
Alabama,209090785.0,2000-07-01
Alabama,215068678.0,2000-08-01
Alabama,194088728.0,2000-09-01
Alabama,203595685.0,2000-10-01
Alabama,197569231.0,2000-11-01
Alabama,204414862.0,2000-12-01
Alabama,190615628.0,2001-01-01
Alabama,205234165.0,2001-02-01
Alabama,208661239.0,2001-03-01
Alabama,207011192.0,2001-04-01
Alabama,213960448.0,2001-05-01
Alabama,205113912.0,2001-06-01
Alabama,215431893.0,2001-07-01
Alabama,214076788.0,2001-08-01
Alabama,192322827.0,2001-09-01
Alabama,192322827.0,2001-10-01
Alabama,204340629.0,2001-11-01
Alabama,209148704.0,2001-12-01
Alabama,198366790.0,2002-01-01
Alabama,188972723.0,2002-02-01
Alabama,210529829.0,2002-03-01
Alabama,210347648.0,2002-04-01
Alabama,218328508.0,2002-05-01
Alabama,205664541.0,2002-06-01
Alabama,221667860.0,2002-07-01
Alabama,219494940.0,2002-08-01
Alabama,198213298.0,2002-09-01
Alabama,203595419.0,2002-10-01
Alabama,207501892.0,2002-11-01
Alabama,217142304.0,2002-12-01
Alabama,200885422.0,2003-01-01
Alabama,185781187.0,2003-02-01
Alabama,204027376.0,2003-03-01
Alabama,205002420.0,2003-04-01
Alabama,220881405.0,2003-05-01
Alabama,207748831.0,2003-06-01
Alabama,223408552.0,2003-07-01
Alabama,221595075.0,2003-08-01
Alabama,224135336.0,2003-09-01
Alabama,211066513.0,2003-10-01
Alabama,204478392.0,2003-11-01
Alabama,218680022.0,2003-12-01
Alabama,202802848.0,2004-01-01
Alabama,199070151.0,2004-02-01
Alabama,197378400.0,2004-03-01
Alabama,215207467.0,2004-04-01
Alabama,223632414.0,2004-05-01
Alabama,218541005.0,2004-06-01
Alabama,214071384.0,2004-07-01
Alabama,226551354.0,2004-08-01
Alabama,211270310.0,2004-09-01
Alabama,212688162.0,2004-10-01
Alabama,207440694.0,2004-11-01
Alabama,224069225.0,2004-12-01
Alabama,206162969.0,2005-01-01
Alabama,201666568.0,2005-02-01
Alabama,225135817.0,2005-03-01
Alabama,217745660.0,2005-04-01
Alabama,228525483.0,2005-05-01
Alabama,223334796.0,2005-06-01
Alabama,228264193.0,2005-07-01
Alabama,228503572.0,2005-08-01
Alabama,218690906.0,2005-09-01
Alabama,221710532.0,2005-10-01
Alabama,208306057.0,2005-11-01
Alabama,223109993.0,2005-12-01
Alabama,222881140.0,2006-01-01
Alabama,203605833.0,2006-02-01
Alabama,202189870.0,2006-03-01
Alabama,224739126.0,2006-04-01
Alabama,218731463.0,2006-05-01
Alabama,226931057.0,2006-06-01
Alabama,225524147.0,2006-07-01
Alabama,225132200.0,2006-08-01
Alabama,227595002.0,2006-09-01
Alabama,214650623.0,2006-10-01
Alabama,220957032.0,2006-11-01
Alabama,214110875.0,2006-12-01
Alabama,221556670.0,2007-01-01
Alabama,217624703.0,2007-02-01
Alabama,203097862.0,2007-03-01
Alabama,228978805.0,2007-04-01
Alabama,221028020.0,2007-05-01
Alabama,229418396.0,2007-06-01
Alabama,224414903.0,2007-07-01
Alabama,226793563.0,2007-08-01
Alabama,232656349.0,2007-09-01
Alabama,209675825.0,2007-10-01
Alabama,226184620.0,2007-11-01
Alabama,212795109.0,2007-12-01
Alabama,216882338.0,2008-01-01
Alabama,211862943.0,2008-02-01
Alabama,204712882.0,2008-03-01
Alabama,218589888.0,2008-04-01
Alabama,219594369.0,2008-05-01
Alabama,221232206.0,2008-06-01
Alabama,216138899.0,2008-07-01
Alabama,224392855.0,2008-08-01
Alabama,222327147.0,2008-09-01
Alabama,197736082.0,2008-10-01
Alabama,226202901.0,2008-11-01
Alabama,204727088.0,2008-12-01
Alabama,217370845.0,2009-01-01
Alabama,209839700.0,2009-02-01
Alabama,198461216.0,2009-03-01
Alabama,219891909.0,2009-04-01
Alabama,220539739.0,2009-05-01
Alabama,221649983.0,2009-06-01
Alabama,228018468.0,2009-07-01
Alabama,232639918.0,2009-08-01
Alabama,222234729.0,2009-09-01
Alabama,212404923.0,2009-10-01
Alabama,216550061.0,2009-11-01
Alabama,206892685.0,2009-12-01
Alabama,219187783.0,2010-01-01
Alabama,204033862.0,2010-02-01
Alabama,201596676.0,2010-03-01
Alabama,227375010.0,2010-04-01
Alabama,225507450.0,2010-05-01
Alabama,231485712.0,2010-06-01
Alabama,226279134.0,2010-07-01
Alabama,234695229.0,2010-08-01
Alabama,231660749.0,2010-09-01
