date,ca total gas sold,ca share of usa gas,average state tax excl. ca,ca state gas tax,ca state gas sales tax rate
2000-01-01,1083914000.0,0.1089000542174106,0.2033855768881555,0.18,0.0625
2000-02-01,1137000000.0,0.11012695199953408,0.20458675029394838,0.18,0.0625
2000-03-01,1221347659.0,0.1147424575210604,0.20414134240050813,0.18,0.0625
2000-04-01,1243241833.0,0.11191432471329459,0.204189430800381,0.18,0.0625
2000-05-01,1163507414.0,0.09989921299166529,0.20463854852712865,0.18,0.0625
2000-06-01,1248321221.0,0.11036225566581073,0.20510526175043828,0.18,0.0625
2000-07-01,1270349431.0,0.11008620362378502,0.20477950589142155,0.18,0.0625
2000-08-01,1299279816.0,0.11129734541371746,0.20520948302394107,0.18,0.0625
2000-09-01,1186477579.0,0.10803866319621468,0.20474029226596166,0.18,0.0625
2000-10-01,1227203631.0,0.1090615706957943,0.2047286122000145,0.18,0.0625
2000-11-01,1203825290.0,0.11080986510858633,0.2053425826234771,0.18,0.0625
2000-12-01,1297313316.0,0.11457236356217336,0.20483972568536607,0.18,0.0625
2001-01-01,1207478310.0,0.11585678521360425,0.19566592413935832,0.18,0.0625
2001-02-01,1123117953.0,0.11002995084948866,0.19612850507183824,0.18,0.0625
2001-03-01,1269289220.0,0.1162691136371572,0.1958343899833904,0.18,0.0625
2001-04-01,1241380739.0,0.11149255893344916,0.1940613953007636,0.18,0.0625
2001-05-01,1194403301.0,0.10353486634237219,0.19456546838372815,0.18,0.0625
2001-06-01,1384008158.0,0.11823421368396159,0.19456067414566594,0.18,0.0625
2001-07-01,1340874387.0,0.11469145382547813,0.19398058291497255,0.18,0.0625
2001-08-01,1332840085.0,0.11205766976967639,0.19413984341178656,0.18,0.0625
2001-09-01,1215594129.0,0.11072551424418971,0.19356035640077354,0.18,0.0625
2001-10-01,1107036345.0,0.09812834433752779,0.1934443191623441,0.18,0.0625
2001-11-01,1250357533.0,0.1127159750566851,0.19275869444136798,0.18,0.0625
2001-12-01,1300325220.0,0.1144639241155229,0.19357069502931828,0.18,0.0625
2002-01-01,1256942248.0,0.1165070293423298,0.19388013370738352,0.18,0.0625
2002-02-01,1168546612.0,0.11395404905885013,0.19348887780594526,0.18,0.0625
2002-03-01,1297762771.0,0.11458576882535718,0.1933038099405279,0.18,0.0625
2002-04-01,1333304005.0,0.11574444452587727,0.19319018190019585,0.18,0.0625
2002-05-01,1349797329.0,0.11050519773826768,0.19500970883467156,0.18,0.0625
2002-06-01,1281157932.0,0.10950374582250764,0.19397413749489759,0.18,0.0625
2002-07-01,1336162210.0,0.11024099649865221,0.1950526603276321,0.18,0.0625
2002-08-01,1354857860.0,0.1108419496875216,0.19426001296505185,0.18,0.0625
2002-09-01,1451379926.0,0.1258656760541699,0.19327386225726964,0.18,0.0625
2002-10-01,1317925250.0,0.11290363982606468,0.19411862877860653,0.18,0.0625
2002-11-01,1253191886.0,0.10980038927418165,0.19318680029707427,0.18,0.0625
2002-12-01,1297917691.0,0.11293271642448764,0.1936986653630511,0.18,0.0625
2003-01-01,1262606251.0,0.11342902785872891,0.190989980842032,0.18,0.0625
2003-02-01,1181079757.0,0.11573272024033351,0.19041192867378334,0.18,0.0625
2003-03-01,1292238567.0,0.11467313759529757,0.1907979770460102,0.18,0.0625
2003-04-01,1272053275.0,0.1115781744050419,0.19043748947562528,0.18,0.0625
2003-05-01,1355715510.0,0.11263736870381574,0.1920027903160241,0.18,0.0625
2003-06-01,1311621623.0,0.11001354347477714,0.19187234024007266,0.18,0.0625
2003-07-01,1375844930.0,0.11189927190784643,0.19582802992333706,0.18,0.0625
2003-08-01,1376055572.0,0.11149402301201534,0.1947228536228969,0.18,0.0625
2003-09-01,1303470691.0,0.11225368572148434,0.19365515785054443,0.18,0.0625
2003-10-01,1353579289.0,0.11669799735695958,0.19501409010232298,0.18,0.0625
2003-11-01,1279804495.0,0.10986204984266344,0.19412998838841644,0.18,0.0625
2003-12-01,1324193657.0,0.1115997707904351,0.19456297306012985,0.18,0.0625
2004-01-01,1293630728.0,0.1148683569274892,0.1958050492054356,0.18,0.0625
2004-02-01,1251734914.0,0.11374050670059256,0.1959859029143853,0.18,0.0625
2004-03-01,1360361532.0,0.1163443515680495,0.19698535888711977,0.18,0.0625
2004-04-01,1326800026.0,0.11153355392800889,0.1959664680422124,0.18,0.0625
2004-05-01,1365227161.0,0.11191733810894887,0.1977734277469686,0.18,0.0625
2004-06-01,1303872219.0,0.10993349062116596,0.19713188522580533,0.18,0.0625
2004-07-01,1370903067.0,0.11236087153058837,0.19984649191616194,0.18,0.0625
2004-08-01,1385346996.0,0.11336379541825477,0.19928276923751076,0.18,0.0625
2004-09-01,1311230424.0,0.10974140886606194,0.19742406613437818,0.18,0.0625
2004-10-01,1330720092.0,0.11362348349543122,0.1990278653231163,0.18,0.0625
2004-11-01,1281264889.0,0.11147700665990248,0.19816362844812277,0.18,0.0625
2004-12-01,1341862031.0,0.11016488784808748,0.19816671705515507,0.18,0.0625
2005-01-01,1269597124.0,0.1154200204833727,0.19993835287547934,0.18,0.0625
2005-01-31,,,,0.18,0.0625
2005-02-01,1189396424.0,0.11009957750456975,0.19935390497394348,0.18,0.0625
2005-03-01,1370668814.0,0.11628803804872763,0.20028237746162728,0.18,0.0625
2005-04-01,1319687286.0,0.11375132448863699,0.19980270911219006,0.18,0.0625
2005-05-01,1375408011.0,0.11287498681997912,0.2005293089853279,0.18,0.0625
2005-06-01,1353191273.0,0.11172298266578533,0.20077295857316085,0.18,0.0625
2005-07-01,1379979011.0,0.11155381136650462,0.20710716311834795,0.18,0.0625
2005-08-01,1398160603.0,0.11135945233328996,0.20414449248144703,0.18,0.0625
2005-09-01,1291708930.0,0.11276048022048596,0.2032515563027557,0.18,0.0625
2005-10-01,1331696515.0,0.11506525152514922,0.2035970832466833,0.18,0.0625
2005-11-01,1288035178.0,0.11365784909403794,0.20283128856501775,0.18,0.0625
2005-12-01,1386015120.0,0.11607418744782064,0.20355190005311186,0.18,0.0625
2006-01-01,1290262436.0,0.11672136865709917,0.21172712587443515,0.18,0.0625
2006-02-01,1233411764.0,0.11438801987325116,0.20469387325575192,0.18,0.0625
2006-03-01,1354132267.0,0.11533362742557057,0.20472598222636812,0.18,0.0625
2006-04-01,1298976398.0,0.11193734807909048,0.20653942058180896,0.18,0.0625
2006-05-01,1339344138.0,0.11179156188389405,0.2054809517006447,0.18,0.0625
2006-06-01,1335367006.0,0.1137593973474747,0.20628082661783187,0.18,0.0625
