date,"CARBOB, % of MGS"
1/1/00,#DIV/0!
1/3/00,#DIV/0!
1/10/00,#DIV/0!
1/17/00,#DIV/0!
1/24/00,#DIV/0!
1/31/00,#DIV/0!
2/1/00,#DIV/0!
2/7/00,#DIV/0!
2/14/00,#DIV/0!
2/21/00,#DIV/0!
2/28/00,#DIV/0!
3/1/00,#DIV/0!
3/6/00,#DIV/0!
3/13/00,#DIV/0!
3/20/00,#DIV/0!
3/27/00,#DIV/0!
4/1/00,#DIV/0!
4/3/00,#DIV/0!
4/10/00,#DIV/0!
4/17/00,#DIV/0!
4/24/00,#DIV/0!
5/1/00,#DIV/0!
5/8/00,#DIV/0!
5/15/00,#DIV/0!
5/22/00,#DIV/0!
5/29/00,-141.8701411
6/1/00,-109.6402085
6/5/00,-111.7162823
6/12/00,-80.18891987
6/19/00,-50.83635379
6/26/00,-40.41686733
7/1/00,-49.85647283
7/3/00,-49.7759776
7/10/00,-103.9100011
7/17/00,-242.238588
7/24/00,-4117.84641
7/31/00,583.8540185
8/1/00,254.4795666
8/7/00,249.6846407
8/14/00,291.2509895
8/21/00,180.3256057
8/28/00,335.1913628
9/1/00,187.3214817
9/4/00,192.3446392
9/11/00,109.6440101
9/18/00,82.67556636
9/25/00,99.18831063
10/1/00,87.46109552
10/2/00,87.18731677
10/9/00,69.59710854
10/16/00,62.53295929
10/23/00,97.5409316
10/30/00,128.9541145
11/1/00,121.8967949
11/6/00,120.1666833
11/13/00,100.7191223
11/20/00,115.2586221
11/27/00,131.7884439
12/1/00,148.2256036
12/4/00,146.8238866
12/11/00,141.5186298
12/18/00,127.6887687
12/25/00,126.4815047
1/1/01,132.6493426
1/8/01,183.7826016
1/15/01,362.4454318
1/22/01,-191.229455
1/29/01,-146.713611
2/1/01,-135.414275
2/5/01,-134.745002
2/12/01,-325.1450936
2/19/01,-590.3609674
2/26/01,281.1068135
3/1/01,172.6606826
3/5/01,168.1034556
3/12/01,91.34844345
3/19/01,83.05730658
3/26/01,79.16705762
4/1/01,88.14662136
4/2/01,90.95315071
4/9/01,96.79430239
4/16/01,129.3907577
4/23/01,232.2495738
4/30/01,479.3996712
5/1/01,183.9785624
5/7/01,190.8013574
5/14/01,230.2863756
5/21/01,187.4376507
5/28/01,126.4669662
6/1/01,168.9558177
6/4/01,156.389862
6/11/01,137.0235522
6/18/01,82.84194411
6/25/01,65.60347554
7/1/01,52.17420365
7/2/01,52.79148499
7/9/01,47.02233343
7/16/01,46.05715047
7/23/01,51.76534961
7/30/01,61.15276736
8/1/01,83.63019585
8/6/01,84.20462644
8/13/01,137.6819834
8/20/01,-2695.773444
8/27/01,-123.1321259
9/1/01,-74.81385673
9/3/01,-74.43572002
9/10/01,-119.175594
9/17/01,-335.3779783
9/24/01,-267.6264097
10/1/01,-3503.180641
10/8/01,303.5531496
10/15/01,176.0882297
10/22/01,142.9673364
10/29/01,141.4395321
11/1/01,148.3244931
11/5/01,140.7008606
11/12/01,189.7644916
11/19/01,293.0220608
11/26/01,1847.051074
12/1/01,1702.247739
12/3/01,1415.473235
12/10/01,-422.9053549
12/17/01,-172.5972217
12/24/01,-126.4255401
12/31/01,-79.58459959
1/1/02,-61.60051343
1/7/02,-61.76534236
1/14/02,-67.11586505
1/21/02,-109.4564471
1/28/02,-166.6087774
2/1/02,-275.6224055
2/4/02,-269.6365577
2/11/02,-379.5000586
2/18/02,-837.7512855
2/25/02,836.4125212
3/1/02,321.4507672
3/4/02,321.7658525
3/11/02,329.6405691
3/18/02,138.4653708
3/25/02,214.3034898
4/1/02,201.7491376
4/8/02,195.9034368
4/15/02,281.3855302
4/22/02,248.0146767
4/29/02,277.3555767
5/1/02,237.5491447
5/6/02,235.5307973
5/13/02,450.569379
5/20/02,834.4080148
5/27/02,-774.9153598
6/1/02,-1694.614255
6/3/02,-1397.556565
6/10/02,-3144.813817
6/17/02,676.2390047
6/24/02,193.4109339
7/1/02,156.2080586
7/8/02,180.9349839
7/15/02,160.5908311
7/22/02,254.7830688
7/29/02,1168.984129
8/1/02,29603.92706
8/5/02,-31434.18702
8/12/02,372.7147935
8/19/02,461.7083667
8/26/02,608.9142328
9/1/02,558.7392103
9/2/02,482.6441804
9/9/02,275.1200822
9/16/02,409.6790889
9/23/02,1114.278024
9/30/02,2522.395367
10/1/02,-350.0698129
10/7/02,-330.4501691
10/14/02,-140.4567303
10/21/02,-116.0913971
10/28/02,-85.42830948
11/1/02,-94.76310882
11/4/02,-93.64673366
11/11/02,-147.3470666
11/18/02,-369.6616508
11/25/02,43250.30227
12/1/02,730.7121974
12/2/02,668.3283165
12/9/02,376.5267303
12/16/02,1300.901945
12/23/02,-945.747144
12/30/02,-173.8120769
1/1/03,-111.1887095
1/6/03,-108.0099908
1/13/03,-207.8350589
1/20/03,-236.319329
1/27/03,-1527.306768
2/1/03,-2383.000545
2/3/03,-2360.330582
2/10/03,-332.0582471
2/17/03,-217.6646262
2/24/03,960.0586921
3/1/03,128.660169
3/3/03,128.6282969
3/10/03,70.40795661
3/17/03,52.81496376
3/24/03,42.52303458
3/31/03,36.39478667
4/1/03,32.55569495
4/7/03,32.79838339
4/14/03,32.3307993
4/21/03,32.43446299
4/28/03,38.49109054
5/1/03,40.63263667
5/5/03,40.28296455
5/12/03,40.68811935
5/19/03,48.85282342
5/26/03,71.64965246
6/1/03,99.0396657
6/2/03,100.097813
6/9/03,122.335027
6/16/03,390.0376724
6/23/03,111.7401297
6/30/03,76.28151718
7/1/03,73.0088996
7/7/03,70.58079999
7/14/03,80.96653822
7/21/03,176.587324
7/28/03,491.492363
8/1/03,884.2125695
8/4/03,989.7401805
8/11/03,-694.5013872
8/18/03,-805.5300671
8/25/03,90.77840351
9/1/03,59.0609976
9/8/03,59.29086595
9/15/03,54.26758654
9/22/03,65.99893851
9/29/03,65.89662607
10/1/03,71.88236747
10/6/03,70.27121836
10/13/03,97.18175667
10/20/03,174.27138
10/27/03,561.256758
11/1/03,699.9562435
11/3/03,857.3641528
11/10/03,-1699.120811
11/17/03,34904.89892
11/24/03,13544.32005
12/1/03,-2992.259078
12/8/03,1056.9091
12/15/03,-2916.5211
12/22/03,-456.9844133
12/29/03,-189.325832
1/1/04,-156.1549227
1/5/04,-160.1911969
1/12/04,-129.515643
1/19/04,-122.5907603
1/26/04,-104.7270397
2/1/04,-114.0964296
2/2/04,-114.1278627
2/9/04,-183.8652159
2/16/04,-2133.474861
2/23/04,312.8838387
3/1/04,62.83488381
3/8/04,46.28845939
3/15/04,51.17494892
3/22/04,51.80078641
3/29/04,62.96992771
4/1/04,73.26228403
4/5/04,74.9179383
4/12/04,63.05966855
4/19/04,53.80966388
4/26/04,68.50849211
5/1/04,82.98364094
5/3/04,81.65476503
5/10/04,126.4717091
5/17/04,113.9104214
5/24/04,200.1076635
5/31/04,195.8802766
6/1/04,143.1213338
6/7/04,145.9396165
6/14/04,131.6247886
6/21/04,99.87591303
6/28/04,82.48947607
7/1/04,88.70609399
7/5/04,85.89787563
7/12/04,88.66188088
7/19/04,123.9175612
7/26/04,167.3747913
8/1/04,172.2745457
8/2/04,172.9670281
8/9/04,244.4803722
8/16/04,623.7513552
8/23/04,-453.5116327
8/30/04,-282.5613116
9/1/04,278.6987065
9/6/04,303.63105
9/13/04,470.2513149
9/20/04,2180.74216
9/27/04,-872.3459447
10/1/04,-338.0598519
10/4/04,-369.1901287
10/11/04,170.16098
10/18/04,74.67362849
10/25/04,59.75060107
11/1/04,61.2362316
11/8/04,75.37733597
11/15/04,73.10412914
11/22/04,72.04879487
11/29/04,87.95381584
12/1/04,114.4568133
12/6/04,115.0910981
12/13/04,127.5040041
12/20/04,111.2161133
12/27/04,287.454326
