"",STATE,JANUARY 2/,FEBRUARY 2/,MARCH 2/,APRIL 2/,MAY 2/,JUNE 2/,JULY 2/,AUGUST 2/,SEPTEMBER 2/,OCTOBER 2/,NOVEMBER 2/,DECEMBER 2/,TOTAL
Alabama,,"221,702,128","197,431,001","200,240,236","222,806,268","215,067,911","230,137,354","225,159,999","225,428,049","227,971,230","210,007,310","215,704,476","206,134,748","2,597,790,710"
Alaska,,"21,112,792","21,780,924","23,559,391","22,382,777","24,401,143","27,946,260","28,564,099","27,743,613","25,042,377","23,470,704","20,475,400","25,192,347","291,671,827"
Arizona,,"220,148,374","207,058,850","234,481,787","223,141,994","220,002,901","211,229,400","218,815,160","224,206,870","214,930,113","221,124,860","216,845,014","216,832,195","2,628,817,518"
Arkansas,,"110,553,011","101,736,981","122,419,077","116,627,550","122,133,330","125,254,399","121,236,050","125,215,877","118,776,469","121,425,602","117,853,165","123,034,706","1,426,266,217"
California,,"1,204,276,413","1,133,494,562","1,240,401,704","1,206,021,253","1,241,364,441","1,221,301,748","1,246,178,307","1,271,155,618","1,212,139,341","1,234,350,509","1,170,877,687","1,234,026,256","14,615,587,839"
Colorado,,"167,407,769","158,230,812","177,462,917","170,281,306","178,654,649","181,651,310","195,097,254","196,045,378","179,254,154","180,716,089","167,445,397","176,155,513","2,128,402,548"
Connecticut,,"116,290,036","109,253,881","123,535,470","118,350,981","123,135,324","125,007,696","127,000,875","125,024,258","121,439,275","126,207,474","123,924,844","126,811,110","1,465,981,224"
Delaware,,"33,330,517","32,626,828","36,534,891","35,576,025","37,466,102","38,233,289","39,916,245","39,877,187","35,855,909","37,131,268","35,313,921","36,815,688","438,677,870"
District of Columbia,,"9,609,885","7,631,161","8,260,159","9,211,468","9,253,397","9,749,250","14,023,362","8,751,679","8,988,907","8,957,596","8,504,525","7,060,444","110,001,833"
Florida,,"694,184,997","674,648,997","661,793,481","744,503,709","705,559,805","685,967,939","663,856,496","668,663,255","641,972,808","682,371,301","668,211,765","660,967,092","8,152,701,645"
Georgia,,"357,442,382","369,432,188","431,227,134","382,828,779","408,000,071","396,183,267","404,981,427","405,332,441","384,089,741","401,224,509","382,830,821","398,407,346","4,721,980,106"
Hawaii,,"38,767,461","43,297,839","50,457,921","35,520,405","30,814,437","44,159,861","38,682,597","39,427,769","37,620,769","38,212,156","36,420,616","38,555,085","471,936,916"
Idaho,,"51,221,847","53,405,158","53,380,052","49,437,001","53,514,592","53,405,146","56,267,654","61,548,756","63,710,109","66,445,178","58,945,187","57,771,362","679,052,042"
Illinois,,"377,842,501","365,585,813","394,451,071","404,259,751","406,461,657","397,611,308","404,143,947","404,756,354","380,976,396","400,986,143","391,450,486","390,051,737","4,718,577,164"
Indiana,,"238,783,493","223,546,506","255,812,451","246,893,131","262,177,474","256,585,543","267,727,933","273,533,559","254,128,112","256,061,314","251,270,003","254,738,335","3,041,257,854"
Iowa,,"131,001,255","123,543,435","139,454,472","140,385,199","146,367,131","150,742,043","152,897,812","154,474,064","145,571,539","144,429,561","142,989,743","148,045,191","1,719,901,445"
Kansas,,"102,647,977","92,859,446","108,235,010","107,403,320","110,252,047","113,626,215","112,736,749","114,253,199","108,584,420","109,061,433","107,014,093","111,378,813","1,298,052,722"
Kentucky,,"164,174,091","160,537,674","182,454,677","178,479,011","187,263,383","187,594,135","189,463,087","193,240,420","180,913,063","182,264,819","177,766,809","182,157,108","2,166,308,277"
Louisiana,,"185,662,531","176,268,977","205,225,774","193,496,205","196,285,239","193,657,692","193,077,738","201,827,384","189,338,848","192,397,534","186,213,852","191,937,140","2,305,388,914"
Maine,,"55,553,128","51,487,131","51,828,367","51,485,132","54,473,209","61,537,069","56,769,886","68,232,541","67,437,348","58,839,030","58,478,071","52,731,861","688,852,773"
Maryland,,"202,928,050","217,376,915","228,963,214","221,989,308","202,988,275","255,257,360","222,651,081","222,318,829","209,360,633","195,584,831","269,921,264","224,014,363","2,673,354,123"
Massachusetts,,"224,183,479","207,567,123","227,450,763","223,477,984","234,180,436","232,886,582","240,611,087","248,163,423","249,596,274","237,434,696","230,329,151","232,895,483","2,788,776,481"
Michigan,,"358,202,490","330,943,924","365,652,192","322,149,624","410,831,646","391,970,342","397,375,444","408,232,135","382,970,573","380,217,235","372,195,006","373,341,659","4,494,082,270"
Minnesota,,"203,357,828","189,343,493","200,364,662","197,701,890","215,250,329","217,297,885","227,649,073","237,441,655","212,023,019","189,654,005","188,192,860","211,387,762","2,489,664,461"
