YEAR,Month,CBOT Ethanol,Annual CA Margin,CA gas price minus crude price & taxes,Annual US margin,US gas price (w/out CA) minus crude price & taxes,Brent Crude,U.S. Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Conventional Retail Gasoline Prices (Dollars per Gallon),U.S. Regular Reformulated Retail Gasoline Prices (Dollars per Gallon),CA Regular All Formulations Retail Gasoline Prices (Dollars per Gallon),US price without CA,CA price real,US price without CA real,National Average State Excise Gasoline,US state excise tax without CA,FEDERAL EXCISE GASOLINE,CA STATE EXCISE GASOLINE,CA UST,CA GASOLINE SALES TAX (assumes 1% local sales tax),CA SALES TAX IN CENTS,CA cap and trade cost (CAX),LCFS CREDIT PRICE,LCFS,TOT CA GAS TAXES,TOT CA TAXES AND FEES,CARB gasoline cost,Unexplained Differential,Explained Differential,Quantity,Daily Usage,Annual Average Daily Usage,Extra Payment,CPI,Current Period Deflator,REAL ($current month) Unexplained Differential,Price Spike Calculation,Price Spike Cost Calculation,Annual Average Unexplaied,REAL ($current month) Extra Payment in $mil,Days in Month,Daily Excess Payment (millions),Aggregate Extra Payment Since 2/2015,Aggregate Extra Payment Since 2/2015 (in billions),REAL CA Retail Gas Price,,Monthly average distribution and retailing MGS,Annual average distribution and retailing MGS
2000,1,,,,,,25.51,1.289,1.279,1.317,1.368,1.280222222,2.493447441,2.33345528,0.199,0.190836053,0.184,0.18,0.012,0.0725,0.092475524,0,,0,0.284475524,0.468475524,0.1,-0.105861694,0.193639472,,,,,168.8,0.548637993,-0.192953633,,,-0.017797893,,31,,,,2.424553081,,,#DIV/0!
2000,2,,,,,,27.78,1.377,1.371,1.391,1.448,1.369111111,2.623719717,2.480776117,0.199,0.190235172,0.184,0.18,0.012,0.0725,0.09788345,0,,0,0.28988345,0.47388345,0.1,-0.120759389,0.199648278,,,,,169.8,0.551888218,-0.218811319,,,-0.017797893,,29,,,,2.551225913,,,#DIV/0!
2000,3,,,,,,27.49,1.516,1.498,1.57,1.752,1.489777778,3.148595748,2.677344735,0.199,0.187951826,0.184,0.18,0.012,0.0725,0.118433566,0,,0,0.310433566,0.494433566,0.1,0.039740482,0.22248174,,,,,171.2,0.556438533,0.071419356,,,-0.017797893,,31,,,,3.061599533,,,#DIV/0!
2000,4,,,,,,22.76,1.465,1.437,1.551,1.75,1.433333333,3.143165499,2.574402218,0.199,0.187966848,0.184,0.18,0.012,0.0725,0.118298368,0,,0,0.310298368,0.494298368,0.1,0.094335146,0.22233152,,,,,171.3,0.556763556,0.169434844,,,-0.017797893,,30,,,,3.056319323,,,#DIV/0!
2000,5,,,,,,27.74,1.487,1.456,1.562,1.651,1.468777778,2.961894,2.634987333,0.199,0.188710438,0.184,0.18,0.012,0.0725,0.111606061,0,,0,0.303606061,0.487606061,0.1,-0.032673401,0.214895623,,,,,171.5,0.557413601,-0.058616081,,,-0.017797893,,31,,,,2.880056385,,,#DIV/0!
2000,6,,,,,,29.8,1.633,1.612,1.667,1.622,1.634222222,2.894677274,2.916489474,0.199,0.188928257,0.184,0.18,0.012,0.0725,0.109645688,0,,0,0.301645688,0.485645688,0.1,-0.224939653,0.212717431,,,,,172.4,0.560338803,-0.401435081,,,-0.017797893,,30,,,,2.814696868,,,#DIV/0!
2000,7,,,,,,28.68,1.551,1.529,1.616,1.71,1.533333333,3.044660938,2.730105324,0.199,0.188267288,0.184,0.18,0.012,0.0725,0.115594406,0,,0,0.307594406,0.491594406,0.1,-0.042660451,0.219327117,,,,,172.8,0.561638893,-0.075957081,,,-0.017797893,,31,,,,2.960536458,,,#DIV/0!
2000,8,,,,,,30.2,1.465,1.439,1.543,1.676,1.441555556,2.984123819,2.566694672,0.199,0.188522663,0.184,0.18,0.012,0.0725,0.113296037,0,,0,0.305296037,0.489296037,0.1,0.01767107,0.216773375,,,,,172.8,0.561638893,0.031463401,,,-0.017797893,,31,,,,2.901671991,,,#DIV/0!
2000,9,,,,,,33.14,1.55,1.525,1.619,1.826,1.519333333,3.234353748,2.691161808,0.199,0.187396011,0.184,0.18,0.012,0.0725,0.123435897,0,,0,0.315435897,0.499435897,0.1,0.078626781,0.228039886,,,,,173.7,0.564564096,0.139269892,,,-0.017797893,,30,,,,3.144988025,,,#DIV/0!
2000,10,,,,,,30.96,1.532,1.508,1.6,1.812,1.500888889,3.204022138,2.653907962,0.199,0.187501166,0.184,0.18,0.012,0.0725,0.12248951,0,,0,0.31448951,0.49848951,0.1,0.084122766,0.226988345,,,,,174,0.565539164,0.148747906,,,-0.017797893,,31,,,,3.115494483,,,#DIV/0!
2000,11,,,,,,32.55,1.517,1.495,1.583,1.766,1.489333333,3.120890213,2.631962527,0.199,0.187846672,0.184,0.18,0.012,0.0725,0.119379953,0,,0,0.311379953,0.495379953,0.1,0.053133385,0.223533282,,,,,174.1,0.565864186,0.09389777,,,-0.017797893,,30,,,,3.034659506,,,#DIV/0!
2000,12,,,,,,25.66,1.443,1.418,1.516,1.679,1.416777778,2.968848328,2.505180665,0.199,0.18850013,0.184,0.18,0.012,0.0725,0.113498834,0,,0,0.305498834,0.489498834,0.1,0.045223517,0.216998705,,,,,174,0.565539164,0.079965315,,,-0.017797893,,31,,,,2.886818563,,,#DIV/0!
