area,Reformulated Motor Gasoline Bulk Sales (Volume),Reformulated Motor Gasoline DTW Sales Volume,Reformulated Motor Gasoline Rack Sales Volume,Reformulated Motor Gasoline Retail Sales by Refiners and Gas Plants,Reformulated Motor Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Reformulated Motor Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Regular Gasoline Bulk Sales (Volume),Regular Gasoline DTW Sales Volume,Regular Gasoline Rack Sales Volume,Regular Gasoline Retail Sales by Refiners and Gas Plants,Regular Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Regular Gasoline Wholesale/Resale Volume by Refiners and Gas Plants,Total Gasoline Bulk Sales (Volume),Total Gasoline DTW Sales Volume,Total Gasoline Rack Sales Volume,Total Gasoline Retail Sales by Refiners and Gas Plants,Total Gasoline Through Company Outlets Volume by Refiners and Gas Plants,Total Gasoline Wholesale/Resale Volume by Refiners and Gas Plants
CALIFORNIA,,19132.8,,7430.9,7323,27962.5,3202.7,12912.6,4410.6,5248.5,5155,20525.9,3591.1,19132.8,5603.5,7430.9,7323,28327.4
U.S.,9663.1,43498.8,32740.6,19580.7,19254.9,85902.6,28778,41234.1,134916.3,38697.1,37592.9,204928.3,33910.9,63374,172353,54421,53001.7,269637.9
CALIFORNIA,,21101.5,,8133.7,7952.8,30687.3,2867.4,14492.6,5219.9,5829.5,5667.8,22579.9,3203.1,21101.5,6654.1,8133.7,7952.8,30958.7
U.S.,7647,46891.3,37039.8,20984.7,20545.2,91578.2,25868.1,45617.8,152433.3,42768.1,41372.4,223919.1,31603.7,68923.1,193471.9,59107.2,57343.1,293998.7
CALIFORNIA,,22126.6,,8298.6,8083.8,31691.5,3079.2,15879.2,5240.4,6230.4,6034.3,24198.8,3381.9,22126.6,6414.4,8298.6,8083.8,31922.9
U.S.,7951.5,48781.9,37105.3,21590.8,21092.8,93838.6,26574.1,48663,159013,45486.6,43908.9,234250.2,29556.6,70715.5,196336.9,60573,58626.8,296609.1
CALIFORNIA,,20863.3,,7827.7,7598.8,32052.5,3713.3,14770,6034.5,5759.6,5578,24517.9,4115.2,20863.3,7536.2,7827.7,7598.8,32514.7
U.S.,11111.3,46373.3,38407,20616.3,20107.2,95891.5,37856.7,46118.2,157990.7,42873.1,41453.4,241965.6,41533.6,67218,195894.1,57911.6,56117.5,304645.7
CALIFORNIA,,21365.1,,8138.1,7936.3,33148.6,4143.6,14929,5938,5949.2,5776.8,25010.6,4574.2,21365.1,7550.3,8138.1,7936.3,33489.5
U.S.,10899.8,47590.1,38112.7,22148.6,21654.5,96602.6,35485.2,47391.3,165547.2,44622.1,43079.5,248423.6,40756.4,69600.9,206523.6,60300.4,58372.1,316880.9
CALIFORNIA,4179.2,22701.6,7441.2,8669.1,8480.8,34321.9,3962.5,15914.6,6070.3,6372.1,6212.4,25947.4,4435.1,22701.6,7513,8669.1,8480.8,34649.7
U.S.,12003.2,49474,38270.9,23807.7,23283.5,99748.1,41245.2,49767.2,169463.5,47451.1,45869.9,260475.9,47057.3,71880.2,207922.8,63275.5,61303.2,326860.3
CALIFORNIA,,22177.4,,8414,8252.8,33217.2,4012.3,15695,5608.8,6165.5,6018.8,25316.1,4541.3,22177.4,6909.2,8414,8252.8,33627.8
U.S.,10681.9,47335,37795.7,23132,22697.9,95812.6,39887,47529.5,165682.5,46511.6,45160.5,253099,45256,68531.2,203929.4,62278.2,60609.1,317716.5
CALIFORNIA,,22946.6,,8630.9,8411.8,34568.1,4338.2,16112.6,5658,6318.5,6137.4,26108.8,4917.3,22946.6,6983.2,8630.9,8411.8,34847.1
U.S.,13540.7,48907.5,38265.2,23559.7,23027.5,100713.5,34897.6,48970.6,169710.2,47257.5,45721.9,253578.4,39958.5,70960.6,210561.1,63621.8,61702.6,321480.1
CALIFORNIA,,22859.8,,9115,8913.8,33267.4,3687.2,16393.1,5390.1,6830.8,6659.8,25470.5,4089,22859.8,6508.2,9115,8913.8,33457
U.S.,11258.5,49135.3,35522.4,23911,23424.7,95916.2,30149.3,49464.1,159805.6,47094.9,45717.3,239419.1,35034.3,70999.1,196477.5,63098,61322.8,302510.9
CALIFORNIA,,22270.3,,8244.9,8037.4,32391.1,3398.5,15966.8,5447,6133.3,5952.5,24812.3,3768.9,22270.3,6626.9,8244.9,8037.4,32666.1
U.S.,8213,48737.7,36280.1,22902.2,22378.7,93230.8,27188,48853.7,159347.5,46107.6,44629.5,235389.2,31811.8,70277.1,196632.4,61954.7,60028.6,298721.3
CALIFORNIA,,22387.7,,8271,8072.3,32601.8,3381.7,15971.7,5461.2,6085.1,5920.3,24814.7,3656.7,22387.7,6693.5,8271,8072.3,32737.9
U.S.,10067,48844.6,36257.1,23049.2,22553.8,95168.7,28943.7,48701.7,158186.8,46119.5,44803.8,235832.2,33367.1,70174.9,195923.9,62184.7,60456.1,299465.9
CALIFORNIA,,22827.4,,8110.2,7862.5,32393.2,2643.6,16044.9,5839.1,5865,5660.5,24527.6,2755.5,22827.4,7206.8,8110.2,7862.5,32789.8
U.S.,11297.5,49037.8,38121.6,22903,22425.6,98456.9,31707.9,48189.2,159521.4,45411.5,44298.4,239418.5,35113.8,70275.7,198684.8,62014.2,60583.4,304074.3
CALIFORNIA,,20933.2,,7461.8,7267.8,30973.3,3092.5,14782,5587.5,5368.7,5210.2,23462,3322.8,20933.2,6878.4,7461.8,7267.8,31134.3
U.S.,7263.2,45642.4,34967.4,21735.1,21244.6,87873,26159.8,44918.8,148012.1,42867.4,41706.6,219090.7,29619.7,64960.5,183482.1,58139.5,56615,278062.3
CALIFORNIA,,22481,,7957.1,7746.9,33386.5,4024.6,15890.1,5448.5,5725.3,5532.5,25363.3,4355.9,22481,6707.8,7957.1,7746.9,33544.7
U.S.,8479.4,48193.3,35974.3,22937.6,22420,92646.9,28064.9,47522.2,154828.4,45541.7,44323.3,230415.5,31443.8,68556.3,192079,61731,60159.5,292079
CALIFORNIA,,23259.2,,8531.6,8272,34446.3,3925.8,16575.8,5757.4,6194.2,5978.5,26259,4264.7,23259.2,7052.9,8531.6,8272,34576.8
U.S.,9634.7,48797.7,36682.4,23583.5,23035.8,95114.8,30051.4,47944.1,158487.5,46406.4,45161.2,236483,33838.3,69093.5,197039.7,62859.5,61250.9,299971.5
CALIFORNIA,,23150.5,,8606.9,8246.7,32835.9,2788.9,16686.8,5513.9,6315.9,6018.3,24989.6,3066.1,23150.5,6760.1,8606.9,8246.7,32976.7
U.S.,8260.7,48693.1,36875,23891.4,23232.9,93828.8,29996.1,48467.4,165185.8,46525.2,45234.7,243649.3,33046,69005.4,202463,62301.3,60623.9,304514.4
