national retail excl. ca (nominal) (severin),ca total fees and taxes (severin),cax cost (severin),lcfs cost (severin),unexplained differential (nominal) (severin),explained differential (nominal) (severin),quantity gas sold (severin),annual average daily usage (severin),extra payment (severin),unexplained differential (real) (severin),california gas (retail) (nominal) (severin),average state tax excl. ca (severin),ust fee (severin),ca state gas tax (severin),ca state.local tax cost (severin),date
1.280222222,0.468475524,0.0,0.0,-0.105861694,0.193639472,,,,-0.192953633,1.368,0.190836053,0.012,0.18,0.284475524,2000-01-01
1.369111111,0.47388345,0.0,0.0,-0.120759389,0.199648278,,,,-0.218811319,1.448,0.190235172,0.012,0.18,0.28988345,2000-02-01
1.489777778,0.494433566,0.0,0.0,0.039740482,0.22248174,,,,0.071419356,1.752,0.187951826,0.012,0.18,0.310433566,2000-03-01
1.433333333,0.494298368,0.0,0.0,0.094335146,0.22233152,,,,0.169434844,1.75,0.187966848,0.012,0.18,0.310298368,2000-04-01
1.468777778,0.487606061,0.0,0.0,-0.032673401,0.214895623,,,,-0.058616081,1.651,0.188710438,0.012,0.18,0.303606061,2000-05-01
1.634222222,0.485645688,0.0,0.0,-0.224939653,0.212717431,,,,-0.401435081,1.622,0.188928257,0.012,0.18,0.301645688,2000-06-01
1.533333333,0.491594406,0.0,0.0,-0.042660451,0.219327117,,,,-0.075957081,1.71,0.188267288,0.012,0.18,0.307594406,2000-07-01
1.441555556,0.489296037,0.0,0.0,0.01767107,0.216773375,,,,0.031463401,1.676,0.188522663,0.012,0.18,0.305296037,2000-08-01
1.519333333,0.499435897,0.0,0.0,0.078626781,0.228039886,,,,0.139269892,1.826,0.187396011,0.012,0.18,0.315435897,2000-09-01
1.500888889,0.49848951,0.0,0.0,0.084122766,0.226988345,,,,0.148747906,1.812,0.187501166,0.012,0.18,0.31448951,2000-10-01
1.489333333,0.495379953,0.0,0.0,0.053133385,0.223533282,,,,0.09389777,1.766,0.187846672,0.012,0.18,0.311379953,2000-11-01
1.416777778,0.489498834,0.0,0.0,0.045223517,0.216998705,,,,0.079965315,1.679,0.18850013,0.012,0.18,0.305498834,2000-12-01
1.429888889,0.484226107,0.0,0.0,-0.010029008,0.181140119,,,,-0.01762213,1.601,0.219085988,0.012,0.18,0.300226107,2001-01-01
1.429222222,0.486659674,0.0,0.0,0.023933696,0.183844082,,,,0.041886827,1.637,0.218815592,0.012,0.18,0.302659674,2001-02-01
1.377444444,0.490445221,0.0,0.0,0.12750531,0.188050246,,,,0.22264294,1.693,0.218394975,0.012,0.18,0.306445221,2001-03-01
1.525222222,0.497205128,0.0,0.0,0.072216524,0.195561254,,,,0.125601641,1.793,0.217643875,0.012,0.18,0.313205128,2001-04-01
1.674666667,0.507682984,0.0,0.0,0.066130018,0.207203315,,,,0.114497967,1.948,0.216479668,0.012,0.18,0.323682984,2001-05-01
1.581444444,0.506263403,0.0,0.0,0.139929552,0.205626004,,,,0.241866658,1.927,0.2166374,0.012,0.18,0.322263403,2001-06-01
1.382222222,0.49565035,0.0,0.0,0.193944056,0.193833722,,,,0.336174432,1.77,0.217816628,0.012,0.18,0.31165035,2001-07-01
1.405666667,0.481386946,0.0,0.0,-0.024652163,0.177985496,,,,-0.042731017,1.559,0.21940145,0.012,0.18,0.297386946,2001-08-01
1.506333333,0.488417249,0.0,0.0,-0.029130277,0.185796944,,,,-0.050266638,1.663,0.218620306,0.012,0.18,0.304417249,2001-09-01
1.289333333,0.480508159,0.0,0.0,0.079657602,0.177009065,,,,0.137919718,1.546,0.219499093,0.012,0.18,0.296508159,2001-10-01
1.150333333,0.467731935,0.0,0.0,0.043853406,0.162813261,,,,0.076056489,1.357,0.220918674,0.012,0.18,0.283731935,2001-11-01
1.078,0.45427972,0.0,0.0,-0.067866356,0.147866356,,,,-0.118169268,1.158,0.222413364,0.012,0.18,0.27027972,2001-12-01
1.098333333,0.456104895,0.0,0.0,-0.095449883,0.18211655,,,,-0.165822479,1.185,0.189988345,0.012,0.18,0.272104895,2002-01-01
1.096222222,0.462121212,0.0,0.0,-0.011023569,0.188801347,,,,-0.019075548,1.274,0.189319865,0.012,0.18,0.278121212,2002-02-01
1.225444444,0.474762238,0.0,0.0,0.032708625,0.202846931,,,,0.056283531,1.461,0.187915307,0.012,0.18,0.290762238,2002-03-01
1.373333333,0.484834499,0.0,0.0,0.022628335,0.214038332,,,,0.038721259,1.61,0.186796167,0.012,0.18,0.300834499,2002-04-01
1.372444444,0.481995338,0.0,0.0,-0.015328153,0.210883709,,,,-0.026229301,1.568,0.187111629,0.012,0.18,0.297995338,2002-05-01
1.359333333,0.483212121,0.0,0.0,0.014430976,0.21223569,,,,0.024680339,1.586,0.186976431,0.012,0.18,0.299212121,2002-06-01
1.374333333,0.484226107,0.0,0.0,0.013304325,0.213362341,,,,0.022728235,1.601,0.186863766,0.012,0.18,0.300226107,2002-07-01
1.374666667,0.483347319,0.0,0.0,0.000947423,0.21238591,,,,0.001613141,1.588,0.186961409,0.012,0.18,0.299347319,2002-08-01
1.380111111,0.482738928,0.0,0.0,-0.012821031,0.21170992,,,,-0.021793698,1.579,0.187029008,0.012,0.18,0.298738928,2002-09-01
1.435444444,0.479494172,0.0,0.0,-0.112549081,0.208104636,,,,-0.190998832,1.531,0.187389536,0.012,0.18,0.295494172,2002-10-01
1.401333333,0.482671329,0.0,0.0,-0.034968143,0.21163481,,,,-0.059341884,1.578,0.187036519,0.012,0.18,0.298671329,2002-11-01
1.369333333,0.479832168,0.0,0.0,-0.04181352,0.208480186,,,,-0.071115575,1.536,0.187351981,0.012,0.18,0.295832168,2002-12-01
1.440777778,0.485037296,0.0,0.0,-0.04204144,0.214263662,,,,-0.071188398,1.613,0.186773634,0.012,0.18,0.301037296,2003-01-01
1.591666667,0.498016317,0.0,0.0,-0.007573686,0.220907019,,,,-0.012726398,1.805,0.193109298,0.012,0.18,0.314016317,2003-02-01
1.647444444,0.518160839,0.0,0.0,0.212265734,0.243289821,,,,0.354549461,2.103,0.190871018,0.012,0.18,0.334160839,2003-03-01
1.538333333,0.514240093,0.0,0.0,0.26773323,0.238933437,,,,0.448170569,2.045,0.191306656,0.012,0.18,0.330240093,2003-04-01
1.458666667,0.500517483,0.0,0.0,0.159647242,0.223686092,,,,0.267677529,1.842,0.192831391,0.012,0.18,0.316517483,2003-05-01
1.462888889,0.495244755,0.0,0.0,0.083283605,0.217827506,,,,0.139488025,1.764,0.193417249,0.012,0.18,0.311244755,2003-06-01
1.487333333,0.493892774,0.0,0.0,0.040341362,0.216325304,,,,0.067492481,1.744,0.19356747,0.012,0.18,0.309892774,2003-07-01
1.592555556,0.502207459,0.0,0.0,0.048880601,0.225563844,,,,0.081468816,1.867,0.192643616,0.012,0.18,0.318207459,2003-08-01
1.640888889,0.512685315,0.0,0.0,0.143905206,0.237205905,,,,0.239068351,2.022,0.191479409,0.012,0.18,0.328685315,2003-09-01
1.538777778,0.49706993,0.0,0.0,0.032366744,0.219855478,,,,0.053828695,1.791,0.193214452,0.012,0.18,0.31306993,2003-10-01
1.492,0.490377622,0.0,0.0,-0.01241958,0.21241958,,,,-0.020710812,1.692,0.193958042,0.012,0.18,0.306377622,2003-11-01
1.461888889,0.486389277,0.0,0.0,-0.036876975,0.207988086,,,,-0.061562538,1.633,0.194401191,0.012,0.18,0.302389277,2003-12-01
1.560555556,0.489228438,0.0,0.0,-0.096698265,0.211142709,,,,-0.160643908,1.675,0.194085729,0.012,0.18,0.305228438,2004-01-01
1.623555556,0.502275058,0.0,0.0,0.022138824,0.22230562,,,,0.036581494,1.868,0.195969438,0.012,0.18,0.318275058,2004-02-01
1.696,0.517687646,0.0,0.0,0.160569283,0.239430717,,,,0.26362066,2.096,0.194256928,0.012,0.18,0.333687646,2004-03-01
