date,la spot price (nominal),gulf spot price (nominal),ny spot price (nominal),uk brent (nominal)
2000-01-01,,0.695,0.705,0.6073809523809525
2000-02-01,,0.819,0.816,0.6614285714285715
2000-03-01,,0.857,0.889,0.6545238095238095
2000-04-01,,0.732,0.729,0.5419047619047619
2000-05-01,,0.896,0.888,0.6604761904761904
2000-06-01,,0.959,0.963,0.7095238095238096
2000-07-01,,0.829,0.859,0.6828571428571428
2000-08-01,,0.85,0.872,0.719047619047619
2000-09-01,,0.914,0.961,0.7890476190476191
2000-10-01,,0.879,0.948,0.7371428571428572
2000-11-01,,0.862,0.944,0.7749999999999999
2000-12-01,,0.72,0.737,0.6109523809523809
2001-01-01,,0.865,0.829,0.61
2001-02-01,,0.816,0.826,0.6547619047619048
2001-03-01,,0.771,0.785,0.5833333333333334
2001-04-01,,1.001,0.947,0.6109523809523809
2001-05-01,,0.922,0.927,0.674047619047619
2001-06-01,,0.729,0.72,0.6630952380952382
2001-07-01,,0.674,0.683,0.5859523809523809
2001-08-01,,0.78,0.776,0.6114285714285714
2001-09-01,,0.745,0.761,0.61
2001-10-01,,0.562,0.598,0.489047619047619
2001-11-01,,0.501,0.517,0.44761904761904764
2001-12-01,,0.508,0.517,0.44547619047619047
2002-01-01,,0.538,0.544,0.46238095238095245
2002-02-01,,0.539,0.553,0.4828571428571429
2002-03-01,,0.714,0.698,0.5642857142857143
2002-04-01,,0.777,0.744,0.6126190476190476
2002-05-01,,0.74,0.703,0.6035714285714286
2002-06-01,,0.736,0.717,0.5733333333333333
2002-07-01,,0.756,0.766,0.6128571428571428
2002-08-01,,0.75,0.769,0.6345238095238095
2002-09-01,,0.776,0.778,0.6761904761904761
2002-10-01,,0.826,0.826,0.6557142857142857
2002-11-01,,0.691,0.766,0.5795238095238096
2002-12-01,,0.78,0.808,0.6745238095238095
2003-01-01,,0.879,0.879,0.7423809523809524
2003-02-01,,1.006,0.996,0.7802380952380953
2003-03-01,,0.963,0.955,0.7288095238095238
2003-04-01,,0.81,0.799,0.5952380952380952
2003-05-01,,0.783,0.76,0.6157142857142857
2003-06-01,1.072,0.826,0.808,0.6583333333333333
2003-07-01,0.965,0.885,0.873,0.675
2003-08-01,1.315,0.982,1.007,0.7116666666666667
2003-09-01,0.949,0.81,0.903,0.6454761904761904
2003-10-01,0.996,0.844,0.875,0.705
2003-11-01,1.02,0.82,0.882,0.6845238095238095
