year,zip,total pop.
2011,89010.0,313
2011,89019.0,2172
2011,89060.0,10691
2011,89061.0,4658
2011,89439.0,1457
2011,90001.0,54760
2011,90002.0,46509
2011,90003.0,66183
2011,90004.0,63932
2011,90005.0,41178
2011,90006.0,57912
2011,90007.0,42265
2011,90008.0,34429
2011,90010.0,3229
2011,90011.0,101523
2011,90009.0,29298
2011,90012.0,29298
2011,90030.0,29298
2011,90050.0,29298
2011,90051.0,29298
2011,90052.0,29298
2011,90053.0,29298
2011,90054.0,29298
2011,90055.0,29298
2011,90060.0,29298
2011,90070.0,29298
2011,90072.0,29298
2011,90074.0,29298
2011,90075.0,29298
2011,90076.0,29298
2011,90078.0,29298
2011,90080.0,29298
2011,90081.0,29298
2011,90082.0,29298
2011,90083.0,29298
2011,90084.0,29298
2011,90086.0,29298
2011,90087.0,29298
2011,90088.0,29298
2011,90091.0,29298
2011,90093.0,29298
2011,90096.0,29298
2011,90099.0,29298
2011,90013.0,8216
2011,90014.0,5204
2011,90015.0,17957
2011,90016.0,46871
2011,90017.0,22401
2011,90018.0,48212
2011,90019.0,63894
2011,90020.0,40596
2011,90021.0,2603
2011,90022.0,67322
2011,90023.0,44706
2011,90024.0,49427
2011,90025.0,42653
2011,90026.0,70052
2011,90027.0,45491
2011,90028.0,27434
2011,90029.0,38563
2011,90031.0,39076
2011,90032.0,48729
2011,90033.0,49102
2011,90034.0,59662
2011,90035.0,29113
2011,90036.0,36124
2011,90037.0,60639
2011,90038.0,30498
2011,90039.0,29262
2011,90040.0,12862
2011,90041.0,28857
2011,90042.0,63424
2011,90043.0,44042
2011,90044.0,88164
2011,90045.0,40150
2011,90046.0,49212
2011,90047.0,47550
2011,90048.0,20931
2011,90049.0,36451
2011,90056.0,8108
2011,90057.0,43808
2011,90058.0,3484
2011,90059.0,40209
2011,90061.0,26952
2011,90062.0,30710
2011,90063.0,52883
2011,90064.0,25633
2011,90065.0,46844
2011,90066.0,56210
2011,90067.0,2468
2011,90068.0,22048
2011,90069.0,19789
2011,90071.0,0
2011,90189.0,0
2011,90073.0,560
2011,90077.0,8571
2011,90079.0,0
2011,90089.0,3516
2011,90090.0,0
2011,90094.0,4994
2011,90095.0,0
2011,90201.0,101584
2011,90202.0,101584
2011,90209.0,21719
2011,90210.0,21719
2011,90213.0,21719
2011,90211.0,8097
2011,90212.0,11836
2011,90220.0,50741
2011,90223.0,50741
2011,90221.0,51535
2011,90222.0,30628
2011,90230.0,32019
2011,90231.0,15001
2011,90232.0,15001
2011,90233.0,15001
