date,california gas (retail) (nominal),national gas (retail) (nominal)
2000-01-01,,1.329
2000-02-01,,1.415
2000-03-01,,1.556
2000-04-01,,1.506
2000-05-01,1.676,1.526
2000-06-01,1.669,1.666
2000-07-01,1.754,1.591
2000-08-01,1.72,1.506
2000-09-01,1.869,1.588
2000-10-01,1.856,1.571
2000-11-01,1.811,1.557
2000-12-01,1.726,1.483
2001-01-01,1.646,1.487
2001-02-01,1.682,1.49
2001-03-01,1.738,1.45
2001-04-01,1.837,1.591
2001-05-01,1.993,1.738
2001-06-01,1.975,1.658
2001-07-01,1.817,1.466
2001-08-01,1.608,1.461
2001-09-01,1.708,1.557
2001-10-01,1.592,1.357
2001-11-01,1.403,1.212
2001-12-01,1.204,1.127
2002-01-01,1.231,1.148
2002-02-01,1.319,1.155
2002-03-01,1.507,1.289
2002-04-01,1.657,1.439
2002-05-01,1.617,1.434
2002-06-01,1.633,1.424
2002-07-01,1.648,1.438
2002-08-01,1.637,1.438
2002-09-01,1.627,1.441
2002-10-01,1.579,1.486
2002-11-01,1.624,1.461
2002-12-01,1.585,1.429
2003-01-01,1.662,1.5
2003-02-01,1.853,1.655
2003-03-01,2.15,1.734
2003-04-01,2.092,1.633
2003-05-01,1.89,1.539
2003-06-01,1.809,1.533
2003-07-01,1.789,1.554
2003-08-01,1.913,1.661
2003-09-01,2.068,1.721
2003-10-01,1.839,1.606
2003-11-01,1.74,1.555
2003-12-01,1.681,1.522
2004-01-01,1.722,1.614
2004-02-01,1.914,1.69
2004-03-01,2.143,1.778
2004-04-01,2.185,1.839
2004-05-01,2.298,2.023
2004-06-01,2.322,2.013
2004-07-01,2.233,1.954
2004-08-01,2.131,1.92
2004-09-01,2.115,1.912
2004-10-01,2.376,2.042
2004-11-01,2.35,2.023
2004-12-01,2.143,1.887
2005-01-01,2.016,1.875
2005-02-01,2.163,1.953
2005-03-01,2.346,2.12
2005-04-01,2.596,2.285
2005-05-01,2.52,2.205
2005-06-01,2.41,2.198
2005-07-01,2.559,2.333
2005-08-01,2.721,2.529
2005-09-01,3.032,2.951
2005-10-01,2.926,2.765
2005-11-01,2.57,2.303
2005-12-01,2.319,2.229
2006-01-01,2.424,2.36
2006-02-01,2.54,2.326
2006-03-01,2.624,2.468
2006-04-01,2.925,2.787
2006-05-01,3.337,2.953
2006-06-01,3.26,2.93
2006-07-01,3.26,3.025
2006-08-01,3.212,2.999
2006-09-01,2.937,2.606
2006-10-01,2.593,2.293
2006-11-01,2.508,2.275
2006-12-01,2.587,2.359
2007-01-01,2.616,2.289
2007-02-01,2.713,2.323
2007-03-01,3.105,2.609
2007-04-01,3.339,2.891
2007-05-01,3.485,3.187
2007-06-01,3.329,3.102
2007-07-01,3.174,3.011
2007-08-01,2.948,2.834
2007-09-01,2.922,2.849
2007-10-01,3.112,2.853
2007-11-01,3.394,3.128
2007-12-01,3.353,3.07
2008-01-01,3.296,3.095
2008-02-01,3.231,3.078
2008-03-01,3.609,3.293
2008-04-01,3.846,3.507
2008-05-01,4.015,3.815
2008-06-01,4.531,4.105
2008-07-01,4.511,4.114
2008-08-01,4.128,3.833
2008-09-01,3.842,3.756
2008-10-01,3.44,3.112
2008-11-01,2.507,2.208
2008-12-01,1.871,1.745
2009-01-01,2.051,1.84
2009-02-01,2.265,1.975
2009-03-01,2.239,2.011
2009-04-01,2.377,2.102
2009-05-01,2.531,2.316
2009-06-01,2.969,2.681
2009-07-01,2.92,2.582
2009-08-01,3.057,2.67
2009-09-01,3.169,2.609
2009-10-01,3.062,2.605
2009-11-01,3.006,2.706
2009-12-01,2.964,2.663
2010-01-01,3.065,2.769
2010-02-01,2.993,2.699
2010-03-01,3.104,2.824
2010-04-01,3.138,2.9
2010-05-01,3.136,2.89
2010-06-01,3.134,2.785
2010-07-01,3.171,2.782
2010-08-01,3.186,2.783
2010-09-01,3.064,2.757
2010-10-01,3.146,2.853
2010-11-01,3.205,2.913
2010-12-01,3.297,3.048
2011-01-01,3.389,3.148
2011-02-01,3.576,3.264
2011-03-01,4.002,3.615
2011-04-01,4.206,3.852
2011-05-01,4.229,3.96
2011-06-01,3.965,3.735
2011-07-01,3.844,3.705
2011-08-01,3.823,3.696
2011-09-01,3.971,3.667
2011-10-01,3.89,3.506
2011-11-01,3.848,3.443
2011-12-01,3.648,3.326
2012-01-01,3.747,3.44
2012-02-01,4.027,3.64
2012-03-01,4.414,3.907
2012-04-01,4.292,3.958
2012-05-01,4.353,3.791
2012-06-01,4.133,3.596
2012-07-01,3.821,3.498
2012-08-01,4.109,3.78
2012-09-01,4.211,3.91
2012-10-01,4.458,3.812
2012-11-01,3.893,3.521
2012-12-01,3.628,3.381
2013-01-01,3.678,3.391
2013-02-01,4.127,3.736
2013-03-01,4.192,3.779
2013-04-01,4.031,3.638
2013-05-01,4.051,3.675
2013-06-01,4.05,3.689
2013-07-01,4.056,3.661
2013-08-01,3.919,3.645
2013-09-01,3.989,3.604
2013-10-01,3.829,3.42
2013-11-01,3.641,3.322
2013-12-01,3.642,3.357
2014-01-01,3.666,3.392
2014-02-01,3.726,3.434
2014-03-01,3.984,3.606
2014-04-01,4.21,3.735
2014-05-01,4.22,3.75
2014-06-01,4.163,3.766
2014-07-01,4.11,3.688
2014-08-01,3.961,3.565
2014-09-01,3.821,3.484
2014-10-01,3.585,3.255
2014-11-01,3.234,2.997
2014-12-01,2.916,2.632
2015-01-01,2.596,2.208
2015-02-01,2.756,2.301
2015-03-01,3.388,2.546
2015-04-01,3.261,2.555
2015-05-01,3.804,2.802
2015-06-01,3.596,2.885
2015-07-01,3.812,2.88
2015-08-01,3.594,2.726
2015-09-01,3.175,2.462
2015-10-01,2.945,2.387
2015-11-01,2.819,2.26
2015-12-01,2.776,2.144
2016-01-01,2.823,2.057
2016-02-01,2.477,1.872
2016-03-01,2.679,2.071
2016-04-01,2.822,2.216
2016-05-01,2.855,2.371
2016-06-01,2.93,2.467
2016-07-01,2.911,2.345
2016-08-01,2.745,2.284
2016-09-01,2.803,2.327
2016-10-01,2.862,2.359
2016-11-01,2.788,2.295
2016-12-01,2.738,2.366
2017-01-01,2.848,2.458
2017-02-01,2.946,2.416
2017-03-01,3.059,2.437
2017-04-01,3.067,2.528
2017-05-01,3.101,2.503
2017-06-01,3.08,2.46
2017-07-01,3.005,2.414
2017-08-01,3.073,2.494
2017-09-01,3.22,2.761
2017-10-01,3.137,2.621
2017-11-01,3.294,2.678
2017-12-01,3.187,2.594
2018-01-01,3.269,2.671
2018-02-01,3.418,2.705
2018-03-01,3.476,2.709
2018-04-01,3.617,2.873
2018-05-01,3.69,2.987
2018-06-01,3.673,2.97
2018-07-01,3.605,2.928
2018-08-01,3.556,2.914
2018-09-01,3.588,2.915
2018-10-01,3.76,2.943
2018-11-01,3.632,2.736
2018-12-01,3.368,2.457
2019-01-01,3.232,2.338
2019-02-01,3.236,2.393
2019-03-01,3.342,2.594
2019-04-01,3.894,2.881
2019-05-01,4.019,2.946
2019-06-01,3.787,2.804
2019-07-01,3.668,2.823
2019-08-01,3.555,2.707
2019-09-01,3.687,2.681
2019-10-01,4.116,2.724
2019-11-01,3.944,2.693
2019-12-01,3.61,2.645
2020-01-01,3.489,2.636
2020-02-01,3.447,2.533
2020-03-01,3.262,2.329
2020-04-01,2.827,1.938
2020-05-01,2.771,1.961
2020-06-01,2.972,2.17
2020-07-01,3.102,2.272
2020-08-01,3.156,2.272
2020-09-01,3.174,2.274
2020-10-01,3.137,2.248
2020-11-01,3.115,2.2
2020-12-01,3.143,2.284
2021-01-01,3.262,2.42
2021-02-01,3.434,2.587
2021-03-01,3.781,2.898
2021-04-01,3.911,2.948
2021-05-01,4.068,3.076
2021-06-01,4.182,3.157
2021-07-01,4.253,3.231
2021-08-01,4.319,3.255
2021-09-01,4.31,3.272
2021-10-01,4.4,3.384
2021-11-01,4.598,3.491
2021-12-01,4.597,3.406
2022-01-01,4.584,3.413
2022-02-01,4.66,3.611
2022-03-01,5.655,4.322
2022-04-01,5.692,4.213
2022-05-01,5.871,4.545
2022-06-01,6.294,5.032
2022-07-01,5.897,4.668
2022-08-01,5.333,4.087
2022-09-01,5.375,3.817
2022-10-01,5.905,3.935
2022-11-01,5.173,3.799
2022-12-01,4.418,3.324
2023-01-01,4.368,3.445
2023-02-01,4.591,3.501
2023-03-01,4.786,3.535
2023-04-01,4.787,3.711
2023-05-01,4.74,3.666
2023-06-01,4.781,3.684
2023-07-01,4.823,3.712
2023-08-01,5.13,3.954
2023-09-01,5.52,3.958
2023-10-01,5.546,3.742
2023-11-01,4.935,3.443
2023-12-01,4.558,3.257
2024-01-01,4.482,3.197
2024-02-01,4.535,3.328
2024-03-01,4.831,3.542
2024-04-01,5.255,3.733
2024-05-01,5.118,3.725
2024-06-01,4.777,3.576
