date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2000-01-01,104705074.0,0.010519642919491758,0.20043807226393603,0.24
2000-02-01,119696629.0,0.01159351355882941,0.2014319471812099,0.24
2000-03-01,126687379.0,0.011901951992329466,0.20090601066131883,0.24
2000-04-01,122392024.0,0.01101750307355797,0.20105319039260255,0.24
2000-05-01,133670241.0,0.011476980477845266,0.20173804521186392,0.24
2000-06-01,138635498.0,0.012256561866645534,0.2018672115538412,0.24
2000-07-01,136594486.0,0.011837033207347697,0.2016503805637989,0.24
2000-08-01,142983626.0,0.012248091454556846,0.20197856798155353,0.24
2000-09-01,128304231.0,0.011683168603440021,0.20161897214283495,0.24
2000-10-01,130147291.0,0.011566188055275248,0.2015873833646541,0.24
2000-11-01,124408630.0,0.011451581573472366,0.2021003636845956,0.24
2000-12-01,124829474.0,0.011024328280619349,0.20160601860133767,0.24
2001-01-01,109119060.0,0.010469905250000222,0.19336263170400364,0.24
2001-02-01,120506038.0,0.0118057710704288,0.19380856089603307,0.24
2001-03-01,122221703.0,0.011195721866316549,0.19347242975950846,0.24
2001-04-01,130202502.0,0.011693922477975172,0.19193154557684625,0.24
2001-05-01,135994849.0,0.011788487609400945,0.19249745135529173,0.24
2001-06-01,132650364.0,0.011332166932524168,0.1922985434184379,0.24
2001-07-01,141611584.0,0.012112721821636837,0.191826444859083,0.24
2001-08-01,127021967.0,0.010679289880136469,0.1920432211652598,0.24
2001-09-01,143549019.0,0.013075531189920678,0.1914237182782199,0.24
2001-10-01,133746681.0,0.011855383453710806,0.19155066493694817,0.24
2001-11-01,121342244.0,0.010938638738961552,0.1907822101340855,0.24
2001-12-01,128302851.0,0.011294134401753158,0.19146922694983795,0.24
2002-01-01,101974268.0,0.00945208027890125,0.19180748100386802,0.24
2002-02-01,128715870.0,0.012552083429114059,0.19134099365548354,0.24
2002-03-01,129699484.0,0.011451796447312413,0.19122077287023884,0.24
2002-04-01,117760602.0,0.010222826462988771,0.1911642522485086,0.24
2002-05-01,139942463.0,0.01145680852491538,0.19281041596322265,0.24
2002-06-01,138840150.0,0.011867011955212118,0.19187279092915283,0.24
2002-07-01,148948261.0,0.012289080320106744,0.1928203034048428,0.24
2002-08-01,143584375.0,0.011746746680618021,0.19211693509166639,0.24
2002-09-01,138046100.0,0.011971548863175845,0.1910167330364767,0.24
2002-10-01,131056560.0,0.011227315545462866,0.19198551037436748,0.24
