date,national gas (retail) (nominal),washington gas (retail) (nominal)
2000-01-03,1.312,
2000-01-10,1.304,
2000-01-17,1.318,
2000-01-24,1.354,
2000-01-31,1.355,
2000-02-07,1.364,
2000-02-14,1.394,
2000-02-21,1.443,
2000-02-28,1.458,
2000-03-06,1.539,
2000-03-13,1.566,
2000-03-20,1.569,
2000-03-27,1.549,
2000-04-03,1.543,
2000-04-10,1.516,
2000-04-17,1.486,
2000-04-24,1.478,
2000-05-01,1.461,
2000-05-08,1.495,
2000-05-15,1.531,
2000-05-22,1.566,
2000-05-29,1.579,
2000-06-05,1.599,
2000-06-12,1.664,
2000-06-19,1.711,
2000-06-26,1.691,
2000-07-03,1.661,
2000-07-10,1.63,
2000-07-17,1.586,
2000-07-24,1.562,
2000-07-31,1.514,
2000-08-07,1.504,
2000-08-14,1.489,
2000-08-21,1.508,
2000-08-28,1.521,
2000-09-04,1.568,
2000-09-11,1.598,
2000-09-18,1.599,
2000-09-25,1.586,
2000-10-02,1.563,
2000-10-09,1.541,
2000-10-16,1.578,
2000-10-23,1.588,
2000-10-30,1.584,
2000-11-06,1.565,
2000-11-13,1.562,
2000-11-20,1.55,
2000-11-27,1.549,
2000-12-04,1.526,
2000-12-11,1.49,
2000-12-18,1.462,
2000-12-25,1.453,
2001-01-01,1.446,
2001-01-08,1.465,
2001-01-15,1.513,
2001-01-22,1.511,
2001-01-29,1.5,
2001-02-05,1.483,
2001-02-12,1.515,
2001-02-19,1.489,
2001-02-26,1.471,
2001-03-05,1.457,
2001-03-12,1.453,
2001-03-19,1.444,
2001-03-26,1.445,
2001-04-02,1.482,
2001-04-09,1.54,
2001-04-16,1.61,
2001-04-23,1.658,
2001-04-30,1.665,
2001-05-07,1.739,
2001-05-14,1.748,
2001-05-21,1.724,
2001-05-28,1.739,
2001-06-04,1.715,
2001-06-11,1.688,
2001-06-18,1.644,
2001-06-25,1.583,
2001-07-02,1.52,
2001-07-09,1.484,
2001-07-16,1.459,
2001-07-23,1.44,
2001-07-30,1.428,
2001-08-06,1.419,
2001-08-13,1.434,
2001-08-20,1.467,
2001-08-27,1.523,
2001-09-03,1.579,
2001-09-10,1.562,
2001-09-17,1.564,
2001-09-24,1.522,
2001-10-01,1.455,
2001-10-08,1.393,
2001-10-15,1.351,
2001-10-22,1.307,
2001-10-29,1.277,
2001-11-05,1.249,
2001-11-12,1.224,
2001-11-19,1.208,
2001-11-26,1.168,
2001-12-03,1.149,
2001-12-10,1.136,
2001-12-17,1.101,
2001-12-24,1.113,
2001-12-31,1.137,
2002-01-07,1.152,
2002-01-14,1.152,
2002-01-21,1.146,
2002-01-28,1.142,
2002-02-04,1.157,
2002-02-11,1.148,
2002-02-18,1.157,
2002-02-25,1.157,
2002-03-04,1.185,
2002-03-11,1.262,
2002-03-18,1.328,
2002-03-25,1.382,
2002-04-01,1.412,
2002-04-08,1.454,
2002-04-15,1.446,
2002-04-22,1.446,
2002-04-29,1.435,
2002-05-06,1.437,
2002-05-13,1.431,
2002-05-20,1.439,
2002-05-27,1.429,
2002-06-03,1.433,
2002-06-10,1.417,
2002-06-17,1.419,
2002-06-24,1.425,
2002-07-01,1.433,
2002-07-08,1.423,
2002-07-15,1.435,
2002-07-22,1.451,
2002-07-29,1.447,
2002-08-05,1.437,
2002-08-12,1.435,
2002-08-19,1.434,
2002-08-26,1.444,
2002-09-02,1.436,
2002-09-09,1.437,
2002-09-16,1.442,
2002-09-23,1.436,
2002-09-30,1.455,
2002-10-07,1.48,
2002-10-14,1.481,
2002-10-21,1.499,
2002-10-28,1.485,
2002-11-04,1.489,
2002-11-11,1.48,
2002-11-18,1.451,
2002-11-25,1.423,
2002-12-02,1.408,
2002-12-09,1.404,
2002-12-16,1.407,
2002-12-23,1.443,
2002-12-30,1.484,
2003-01-06,1.487,
2003-01-13,1.496,
2003-01-20,1.502,
2003-01-27,1.515,
2003-02-03,1.569,
2003-02-10,1.649,
2003-02-17,1.701,
2003-02-24,1.699,
2003-03-03,1.726,
2003-03-10,1.752,
2003-03-17,1.768,
2003-03-24,1.732,
2003-03-31,1.692,
2003-04-07,1.673,
2003-04-14,1.639,
2003-04-21,1.618,
2003-04-28,1.6,
2003-05-05,1.556,
2003-05-12,1.534,
2003-05-19,1.539,
2003-05-26,1.528,1.584
2003-06-02,1.514,1.58
2003-06-09,1.53,1.582
2003-06-16,1.558,1.622
2003-06-23,1.537,1.627
2003-06-30,1.528,1.622
2003-07-07,1.53,1.658
2003-07-14,1.563,1.643
2003-07-21,1.566,1.632
2003-07-28,1.558,1.621
2003-08-04,1.576,1.65
2003-08-11,1.611,1.7
2003-08-18,1.668,1.861
2003-08-25,1.787,1.981
2003-09-01,1.786,1.988
2003-09-08,1.758,1.967
2003-09-15,1.739,1.906
2003-09-22,1.686,1.836
2003-09-29,1.635,1.773
2003-10-06,1.617,1.727
2003-10-13,1.611,1.69
2003-10-20,1.612,1.654
2003-10-27,1.584,1.635
2003-11-03,1.577,1.624
2003-11-10,1.547,1.613
2003-11-17,1.54,1.632
2003-11-24,1.554,1.629
2003-12-01,1.533,1.614
2003-12-08,1.519,1.589
2003-12-15,1.509,1.564
2003-12-22,1.528,1.551
2003-12-29,1.521,1.544
2004-01-05,1.552,1.569
2004-01-12,1.603,1.623
2004-01-19,1.637,1.675
2004-01-26,1.664,1.693
2004-02-02,1.66,1.702
2004-02-09,1.681,1.711
2004-02-16,1.69,1.722
2004-02-23,1.73,1.78
2004-03-01,1.758,1.845
2004-03-08,1.78,1.861
2004-03-15,1.767,1.855
2004-03-22,1.785,1.849
2004-03-29,1.8,1.845
2004-04-05,1.822,1.886
2004-04-12,1.827,1.922
2004-04-19,1.853,1.997
2004-04-26,1.853,2.038
2004-05-03,1.884,2.09
2004-05-10,1.979,2.218
2004-05-17,2.055,2.277
2004-05-24,2.104,2.325
2004-05-31,2.092,2.319
2004-06-07,2.075,2.284
2004-06-14,2.029,2.241
2004-06-21,1.981,2.171
2004-06-28,1.965,2.133
2004-07-05,1.939,2.066
2004-07-12,1.959,2.041
2004-07-19,1.971,2.031
2004-07-26,1.948,2.011
2004-08-02,1.93,1.99
2004-08-09,1.92,1.976
2004-08-16,1.917,1.971
2004-08-23,1.926,1.997
2004-08-30,1.909,2.033
2004-09-06,1.893,2.028
2004-09-13,1.889,2.029
2004-09-20,1.908,2.042
2004-09-27,1.959,2.051
2004-10-04,1.98,2.077
2004-10-11,2.035,2.099
2004-10-18,2.077,2.111
2004-10-25,2.074,2.115
2004-11-01,2.076,2.114
2004-11-08,2.045,2.102
2004-11-15,2.014,2.091
2004-11-22,1.992,2.072
2004-11-29,1.989,2.04
2004-12-06,1.956,2.022
2004-12-13,1.893,1.979
2004-12-20,1.861,1.926
2004-12-27,1.838,1.898
2005-01-03,1.824,1.872
2005-01-10,1.837,1.85
2005-01-17,1.863,1.848
2005-01-24,1.896,1.865
2005-01-31,1.953,1.913
2005-02-07,1.952,1.932
2005-02-14,1.941,1.956
2005-02-21,1.948,2.028
2005-02-28,1.969,2.063
2005-03-07,2.04,2.11
2005-03-14,2.098,2.172
2005-03-21,2.149,2.201
2005-03-28,2.194,2.261
2005-04-04,2.258,2.333
2005-04-11,2.321,2.481
2005-04-18,2.28,2.515
2005-04-25,2.279,2.517
2005-05-02,2.277,2.514
2005-05-09,2.231,2.494
2005-05-16,2.206,2.456
2005-05-23,2.169,2.41
2005-05-30,2.141,2.361
2005-06-06,2.159,2.322
2005-06-13,2.173,2.301
2005-06-20,2.204,2.302
2005-06-27,2.257,2.351
2005-07-04,2.268,2.389
2005-07-11,2.369,2.464
2005-07-18,2.36,2.489
2005-07-25,2.333,2.489
2005-08-01,2.335,2.52
2005-08-08,2.41,2.59
2005-08-15,2.592,2.661
2005-08-22,2.654,2.711
2005-08-29,2.653,2.771
2005-09-05,3.117,2.995
2005-09-12,3.002,2.979
2005-09-19,2.835,2.938
2005-09-26,2.851,2.924
2005-10-03,2.975,2.929
2005-10-10,2.896,2.903
2005-10-17,2.775,2.845
2005-10-24,2.652,2.791
2005-10-31,2.528,2.665
2005-11-07,2.424,2.591
2005-11-14,2.342,2.509
2005-11-21,2.247,2.43
2005-11-28,2.2,2.381
2005-12-05,2.191,2.31
2005-12-12,2.228,2.228
2005-12-19,2.255,2.201
2005-12-26,2.241,2.187
2006-01-02,2.281,2.194
2006-01-09,2.371,2.273
2006-01-16,2.366,2.302
2006-01-23,2.382,2.341
2006-01-30,2.402,2.359
2006-02-06,2.388,2.365
2006-02-13,2.331,2.339
2006-02-20,2.286,2.296
2006-02-27,2.298,2.287
2006-03-06,2.373,2.343
2006-03-13,2.408,2.427
2006-03-20,2.548,2.529
2006-03-27,2.542,2.594
2006-04-03,2.631,2.603
2006-04-10,2.727,2.713
2006-04-17,2.828,2.793
2006-04-24,2.96,2.932
2006-05-01,2.966,3.046
2006-05-08,2.955,3.13
2006-05-15,2.992,3.173
2006-05-22,2.938,3.196
2006-05-29,2.913,3.191
2006-06-05,2.937,3.172
2006-06-12,2.951,3.148
2006-06-19,2.917,3.106
2006-06-26,2.914,3.071
2006-07-03,2.979,3.072
2006-07-10,3.017,3.078
2006-07-17,3.033,3.081
2006-07-24,3.048,3.08
2006-07-31,3.05,3.072
2006-08-07,3.083,3.095
2006-08-14,3.047,3.119
2006-08-21,2.971,3.097
2006-08-28,2.893,3.065
2006-09-04,2.777,3.01
2006-09-11,2.67,2.955
2006-09-18,2.549,2.868
2006-09-25,2.429,2.785
2006-10-02,2.36,2.716
2006-10-09,2.31,2.637
2006-10-16,2.274,2.589
2006-10-23,2.255,2.551
2006-10-30,2.264,2.501
2006-11-06,2.246,2.476
2006-11-13,2.278,2.522
2006-11-20,2.285,2.585
2006-11-27,2.292,2.591
2006-12-04,2.342,2.611
2006-12-11,2.34,2.638
2006-12-18,2.366,2.665
2006-12-25,2.387,2.682
2007-01-01,2.382,2.682
2007-01-08,2.354,2.686
2007-01-15,2.28,2.667
2007-01-22,2.216,2.616
2007-01-29,2.213,2.549
2007-02-05,2.237,2.498
2007-02-12,2.287,2.467
2007-02-19,2.341,2.508
2007-02-26,2.428,2.525
2007-03-05,2.551,2.625
2007-03-12,2.605,2.753
2007-03-19,2.623,2.834
2007-03-26,2.655,2.867
2007-04-02,2.753,2.972
2007-04-09,2.848,3.047
2007-04-16,2.922,3.124
2007-04-23,2.917,3.168
2007-04-30,3.017,3.307
2007-05-07,3.097,3.409
2007-05-14,3.143,3.459
2007-05-21,3.258,3.464
2007-05-28,3.25,3.43
2007-06-04,3.2,3.376
2007-06-11,3.122,3.302
2007-06-18,3.057,3.193
2007-06-25,3.029,3.15
2007-07-02,3.005,3.108
2007-07-09,3.026,3.079
2007-07-16,3.092,3.067
2007-07-23,3.005,3.025
2007-07-30,2.926,2.98
2007-08-06,2.888,2.956
2007-08-13,2.821,2.882
2007-08-20,2.832,2.847
2007-08-27,2.796,2.83
2007-09-03,2.84,2.856
2007-09-10,2.862,2.915
2007-09-17,2.835,2.925
2007-09-24,2.86,2.989
2007-10-01,2.838,2.998
2007-10-08,2.821,2.976
2007-10-15,2.813,2.997
2007-10-22,2.873,3.103
2007-10-29,2.921,3.174
2007-11-05,3.06,3.24
2007-11-12,3.158,3.285
2007-11-19,3.148,3.28
2007-11-26,3.147,3.28
2007-12-03,3.113,3.258
2007-12-10,3.053,3.216
2007-12-17,3.05,3.176
2007-12-24,3.032,3.168
2007-12-31,3.104,3.208
2008-01-07,3.159,3.235
2008-01-14,3.119,3.212
2008-01-21,3.07,3.151
2008-01-28,3.03,3.084
2008-02-04,3.03,3.069
2008-02-11,3.011,3.093
2008-02-18,3.092,3.201
2008-02-25,3.18,3.347
2008-03-03,3.212,3.461
2008-03-10,3.273,3.504
2008-03-17,3.332,3.552
2008-03-24,3.31,3.523
2008-03-31,3.339,3.503
2008-04-07,3.381,3.519
2008-04-14,3.438,3.594
2008-04-21,3.557,3.681
2008-04-28,3.653,3.766
2008-05-05,3.663,3.772
2008-05-12,3.771,3.849
2008-05-19,3.84,3.935
2008-05-26,3.986,4.074
2008-06-02,4.026,4.189
2008-06-09,4.09,4.283
2008-06-16,4.134,4.365
2008-06-23,4.131,4.391
2008-06-30,4.146,4.409
2008-07-07,4.165,4.412
2008-07-14,4.164,4.393
2008-07-21,4.118,4.352
2008-07-28,4.01,4.275
2008-08-04,3.935,4.186
2008-08-11,3.864,4.101
2008-08-18,3.794,4.018
2008-08-25,3.738,3.958
2008-09-01,3.733,3.925
2008-09-08,3.701,3.868
2008-09-15,3.887,3.842
2008-09-22,3.772,3.772
2008-09-29,3.687,3.726
2008-10-06,3.543,3.633
2008-10-13,3.213,3.37
2008-10-20,2.974,3.133
2008-10-27,2.718,2.867
2008-11-03,2.462,2.644
2008-11-10,2.284,2.469
2008-11-17,2.132,2.3
2008-11-24,1.952,2.124
2008-12-01,1.87,2.018
2008-12-08,1.758,1.899
2008-12-15,1.716,1.833
2008-12-22,1.71,1.831
2008-12-29,1.67,1.835
2009-01-05,1.737,1.902
2009-01-12,1.835,1.995
2009-01-19,1.898,2.04
2009-01-26,1.89,2.045
2009-02-02,1.944,2.076
2009-02-09,1.978,2.181
2009-02-16,2.016,2.237
2009-02-23,1.963,2.218
2009-03-02,1.988,2.201
2009-03-09,1.993,2.193
2009-03-16,1.964,2.175
2009-03-23,2.014,2.207
2009-03-30,2.097,2.289
2009-04-06,2.09,2.335
2009-04-13,2.104,2.363
2009-04-20,2.112,2.373
2009-04-27,2.102,2.385
2009-05-04,2.129,2.406
2009-05-11,2.29,2.519
2009-05-18,2.36,2.572
2009-05-25,2.485,2.66
2009-06-01,2.572,2.737
2009-06-08,2.673,2.813
2009-06-15,2.722,2.902
2009-06-22,2.743,2.936
2009-06-29,2.695,2.9
2009-07-06,2.666,2.886
2009-07-13,2.584,2.818
2009-07-20,2.519,2.756
2009-07-27,2.557,2.772
2009-08-03,2.61,2.82
2009-08-10,2.7,2.916
2009-08-17,2.691,2.924
2009-08-24,2.682,2.924
2009-08-31,2.667,2.958
2009-09-07,2.642,2.989
2009-09-14,2.632,3.004
2009-09-21,2.607,3.004
2009-09-28,2.554,2.959
2009-10-05,2.523,2.89
2009-10-12,2.543,2.829
2009-10-19,2.626,2.797
2009-10-26,2.727,2.848
2009-11-02,2.746,2.881
2009-11-09,2.72,2.885
2009-11-16,2.684,2.886
2009-11-23,2.694,2.894
2009-11-30,2.684,2.879
2009-12-07,2.689,2.869
2009-12-14,2.655,2.856
2009-12-21,2.645,2.815
2009-12-28,2.662,2.817
2010-01-04,2.718,2.856
2010-01-11,2.804,2.932
2010-01-18,2.793,2.932
2010-01-25,2.76,2.91
2010-02-01,2.717,2.886
2010-02-08,2.707,2.862
2010-02-15,2.664,2.833
2010-02-22,2.709,2.885
2010-03-01,2.756,2.935
2010-03-08,2.804,2.975
2010-03-15,2.841,3.001
2010-03-22,2.87,3.023
2010-03-29,2.851,3.032
2010-04-05,2.877,3.036
2010-04-12,2.909,3.083
2010-04-19,2.911,3.105
2010-04-26,2.901,3.115
2010-05-03,2.95,3.118
2010-05-10,2.958,3.125
2010-05-17,2.918,3.096
2010-05-24,2.842,3.043
2010-05-31,2.784,3.001
2010-06-07,2.78,3.003
2010-06-14,2.756,3.0
2010-06-21,2.795,3.017
2010-06-28,2.809,3.029
2010-07-05,2.779,3.033
2010-07-12,2.771,3.024
2010-07-19,2.775,3.07
2010-07-26,2.801,3.115
2010-08-02,2.788,3.139
2010-08-09,2.835,3.173
2010-08-16,2.798,3.173
2010-08-23,2.759,3.154
2010-08-30,2.736,3.104
2010-09-06,2.735,3.06
2010-09-13,2.772,3.047
2010-09-20,2.775,3.045
2010-09-27,2.747,3.035
2010-10-04,2.784,3.037
2010-10-11,2.871,3.083
2010-10-18,2.887,3.125
2010-10-25,2.87,3.135
2010-11-01,2.861,3.122
2010-11-08,2.917,3.121
2010-11-15,2.944,3.163
2010-11-22,2.931,3.174
2010-11-29,2.912,3.156
2010-12-06,3.013,3.199
2010-12-13,3.035,3.221
2010-12-20,3.037,3.228
2010-12-27,3.106,3.242
2011-01-03,3.124,3.253
2011-01-10,3.142,3.269
2011-01-17,3.158,3.313
2011-01-24,3.163,3.317
2011-01-31,3.155,3.314
2011-02-07,3.185,3.325
2011-02-14,3.193,3.353
2011-02-21,3.243,3.429
2011-02-28,3.435,3.519
2011-03-07,3.572,3.656
2011-03-14,3.621,3.715
2011-03-21,3.617,3.737
2011-03-28,3.65,3.823
2011-04-04,3.737,3.868
2011-04-11,3.843,3.929
2011-04-18,3.896,3.986
2011-04-25,3.932,4.02
2011-05-02,4.014,4.069
2011-05-09,4.018,4.107
2011-05-16,4.014,4.102
2011-05-23,3.904,4.029
2011-05-30,3.848,4.001
2011-06-06,3.833,3.971
2011-06-13,3.767,3.946
2011-06-20,3.708,3.927
2011-06-27,3.631,3.888
2011-07-04,3.634,3.844
2011-07-11,3.695,3.835
2011-07-18,3.736,3.852
2011-07-25,3.754,3.861
2011-08-01,3.766,3.868
2011-08-08,3.73,3.87
2011-08-15,3.662,3.834
2011-08-22,3.638,3.817
2011-08-29,3.682,3.857
2011-09-05,3.727,3.932
2011-09-12,3.715,3.947
2011-09-19,3.657,3.943
2011-09-26,3.568,3.927
2011-10-03,3.492,3.868
2011-10-10,3.476,3.841
2011-10-17,3.533,3.875
2011-10-24,3.52,3.884
2011-10-31,3.511,3.863
2011-11-07,3.482,3.834
2011-11-14,3.495,3.817
2011-11-21,3.427,3.76
2011-11-28,3.368,3.69
2011-12-05,3.35,3.643
2011-12-12,3.346,3.604
2011-12-19,3.29,3.502
2011-12-26,3.317,3.499
2012-01-02,3.358,3.491
2012-01-09,3.441,3.531
2012-01-16,3.451,3.536
2012-01-23,3.45,3.544
2012-01-30,3.5,3.568
2012-02-06,3.542,3.579
2012-02-13,3.584,3.589
2012-02-20,3.652,3.725
2012-02-27,3.78,3.942
2012-03-05,3.849,3.997
2012-03-12,3.884,4.023
2012-03-19,3.923,4.063
2012-03-26,3.973,4.136
2012-04-02,3.996,4.209
2012-04-09,3.997,4.213
2012-04-16,3.98,4.199
2012-04-23,3.929,4.17
2012-04-30,3.889,4.142
2012-05-07,3.849,4.145
2012-05-14,3.814,4.251
2012-05-21,3.773,4.302
2012-05-28,3.728,4.344
2012-06-04,3.671,4.335
2012-06-11,3.629,4.232
2012-06-18,3.589,4.056
2012-06-25,3.494,3.836
2012-07-02,3.415,3.714
2012-07-09,3.469,3.652
2012-07-16,3.485,3.655
2012-07-23,3.554,3.724
2012-07-30,3.568,3.712
2012-08-06,3.702,3.749
2012-08-13,3.779,3.921
2012-08-20,3.803,4.037
2012-08-27,3.837,4.078
2012-09-03,3.903,4.095
2012-09-10,3.907,4.11
2012-09-17,3.939,4.095
2012-09-24,3.889,4.075
2012-10-01,3.866,4.096
2012-10-08,3.914,4.156
2012-10-15,3.886,4.149
2012-10-22,3.756,4.001
2012-10-29,3.638,3.865
2012-11-05,3.563,3.724
2012-11-12,3.518,3.651
2012-11-19,3.497,3.573
2012-11-26,3.505,3.543
2012-12-03,3.463,3.518
2012-12-10,3.419,3.474
2012-12-17,3.324,3.42
2012-12-24,3.328,3.418
2012-12-31,3.369,3.438
2013-01-07,3.373,3.457
2013-01-14,3.377,3.425
2013-01-21,3.386,3.396
2013-01-28,3.427,3.409
2013-02-04,3.604,3.525
2013-02-11,3.677,3.614
2013-02-18,3.812,3.692
2013-02-25,3.851,3.791
2013-03-04,3.826,3.843
2013-03-11,3.779,3.862
