date,wa_mgs_real
2000-01-01,
2000-01-03,
2000-01-10,
2000-01-17,
2000-01-24,
2000-01-31,
2000-02-01,
2000-02-07,
2000-02-14,
2000-02-21,
2000-02-28,
2000-03-01,
2000-03-06,
2000-03-13,
2000-03-20,
2000-03-27,
2000-04-01,
2000-04-03,
2000-04-10,
2000-04-17,
2000-04-24,
2000-05-01,
2000-05-08,
2000-05-15,
2000-05-22,
2000-05-29,
2000-06-01,
2000-06-05,
2000-06-12,
2000-06-19,
2000-06-26,
2000-07-01,
2000-07-03,
2000-07-10,
2000-07-17,
2000-07-24,
2000-07-31,
2000-08-01,
2000-08-07,
2000-08-14,
2000-08-21,
2000-08-28,
2000-09-01,
2000-09-04,
2000-09-11,
2000-09-18,
2000-09-25,
2000-10-01,
2000-10-02,
2000-10-09,
2000-10-16,
2000-10-23,
2000-10-30,
2000-11-01,
2000-11-06,
2000-11-13,
2000-11-20,
2000-11-27,
2000-12-01,
2000-12-04,
2000-12-11,
2000-12-18,
2000-12-25,
2001-01-01,
2001-01-08,
2001-01-15,
2001-01-22,
2001-01-29,
2001-02-01,
2001-02-05,
2001-02-12,
2001-02-19,
2001-02-26,
2001-03-01,
2001-03-05,
2001-03-12,
2001-03-19,
2001-03-26,
2001-04-01,
2001-04-02,
2001-04-09,
2001-04-16,
2001-04-23,
2001-04-30,
2001-05-01,
2001-05-07,
2001-05-14,
2001-05-21,
2001-05-28,
2001-06-01,
2001-06-04,
2001-06-11,
2001-06-18,
2001-06-25,
2001-07-01,
2001-07-02,
2001-07-09,
2001-07-16,
2001-07-23,
2001-07-30,
2001-08-01,
2001-08-06,
2001-08-13,
2001-08-20,
2001-08-27,
2001-09-01,
2001-09-03,
2001-09-10,
2001-09-17,
2001-09-24,
2001-10-01,
2001-10-08,
2001-10-15,
2001-10-22,
2001-10-29,
2001-11-01,
2001-11-05,
2001-11-12,
2001-11-19,
2001-11-26,
2001-12-01,
2001-12-03,
2001-12-10,
2001-12-17,
2001-12-24,
2001-12-31,
2002-01-01,
2002-01-07,
2002-01-14,
2002-01-21,
2002-01-28,
2002-02-01,
2002-02-04,
2002-02-11,
2002-02-18,
2002-02-25,
2002-03-01,
2002-03-04,
2002-03-11,
2002-03-18,
2002-03-25,
2002-04-01,
2002-04-08,
2002-04-15,
2002-04-22,
2002-04-29,
2002-05-01,
2002-05-06,
2002-05-13,
2002-05-20,
2002-05-27,
2002-06-01,
2002-06-03,
2002-06-10,
2002-06-17,
2002-06-24,
2002-07-01,
2002-07-08,
2002-07-15,
2002-07-22,
2002-07-29,
2002-08-01,
2002-08-05,
2002-08-12,
2002-08-19,
2002-08-26,
2002-09-01,
2002-09-02,
2002-09-09,
2002-09-16,
2002-09-23,
2002-09-30,
2002-10-01,
2002-10-07,
